album_artists,album_id,album_artists_id
Lil Tecca,7nTvm6EgmFWPLMLxj6aksS,4Ga1P7PMIsmqEZqhYZQgDo
Calma Interiore,3dwBW5p65buVtiTmr2a0Wl,1OmJlIsNDkAVfdkmHbvQFM
Sturgill Simpson,5CigVuEyiAYaNYx2M2w4hh,3vDpQbGnzRbRVirXlfQagB
Brent Faiyaz,2M3IBMpOszCjnxwG1sWOqT,3tlXnStJ1fFhdScmQeLpuG
Avery Anna,0HZiTcB82OPdvbJ2Hny6bK,5rjz63sgMaAUAyBMyCUK5D
Ryan Mack,2TrwVayZ9oD42PkEI9Nk5Q,5LGo1zHegJTWzqVXgeNplt
Elle King,6F6ZYE96lTFgzWotepEDhZ,3bhu7P5PfngueRHiB9hjcx
Miranda Lambert,6F6ZYE96lTFgzWotepEDhZ,66lH4jAE7pqPlOlzUKbwA0
Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,1McMsnEElThX1knmY4oliG
Lil Nas X,622NFw5Yk0OReMJ2XWcXUh,7jVv8c5Fj3E9VhNjxT4snq
Jack Harlow,622NFw5Yk0OReMJ2XWcXUh,2LIk90788K0zvyj2JJVwkJ
Zeph,6qf1Qjmib5fOTb18Ju6uA9,502gYHkFCtLzBIcU4ctPLd
Lana Del Rey,6QeosPQpJckkW0Obir5RT8,00FQb4jTyendYWaN8pK0wa
Chris Young,4WyhB7bn1Dy3w7GBWUAO1a,4BYxqVkZyFjtik7crYLg5Q
Doja Cat,1nAQbHeOWTfQzbOoFrvndW,5cj0lLjcoR7YOSnhnX0Po5
$uicideboy$,3dgsCZMswt6TWbsKcMgoO2,1VPmR4DJC1PlOtd0IADAO0
Luna Li,0qecSxB8NZ4ga9s9FqkboY,4ZAk3yVJdtf1CFnTiG08U3
The Weeknd,5L5evi5tJPh8WaEFAQp7Tp,1Xyo4u8uXC1ZmMpatF05PJ
Baby Keem,3HqmX8hGcbbQZODgayNEYx,5SXuuuRpukkTvsLuUknva1
Kendrick Lamar,3HqmX8hGcbbQZODgayNEYx,2YZyLoL8N0Wb9xBt1NhZWg
VALORANT,4O7Fn6jEB5xN1HXjMALCHp,3wrFoI9EVjWg6m8xXeWr5t
Grabbitz,4O7Fn6jEB5xN1HXjMALCHp,4fv1OFJywZ7DHCz3mVQQ45
The Wombats,1UglarHubZKdQNBzRLF7dt,0Ya43ZKWHTKkAbkoJJkwIB
Oliver Nelson,1UglarHubZKdQNBzRLF7dt,4QAp87iZerUP9PKxtLhmW1
Lil Durk,021fiBoLY6KwQmgIvByEtG,3hcs9uc56yIGFCSy9leWe7
Morgan Wallen,021fiBoLY6KwQmgIvByEtG,4oUHIQIBe0LHzYfvXNW4QM
Bee Gees,2iTmTEm55PIjLdYjDCKh96,1LZEQNv7sE11VDY3SdxQeN
SG Lewis,2iTmTEm55PIjLdYjDCKh96,0GG2cWaonE4JPrjcCCQ1EG
