album_tracks,album_id,album_tracks_id
MONEY ON ME,7nTvm6EgmFWPLMLxj6aksS,668vMRYpYfpLsOvWc73umT
REPEAT IT (with Gunna),7nTvm6EgmFWPLMLxj6aksS,4s6vwFgPdCtidpEw8KuQT6
NEVER LEFT,7nTvm6EgmFWPLMLxj6aksS,0soNGRgFn7aq1T4LXtFDMb
CAUTION,7nTvm6EgmFWPLMLxj6aksS,7J34pk34Aw4U5J7cL5XO98
SEASIDE (feat. iann dior),7nTvm6EgmFWPLMLxj6aksS,45bXTH6SuR2MKjypu4ksNz
NO DISCUSSION,7nTvm6EgmFWPLMLxj6aksS,1fU96l9s0oe6xwW4SQmcHn
YOU DON'T NEED ME NO MORE,7nTvm6EgmFWPLMLxj6aksS,2NG6GFxtDHlG2L4CkSbllR
FEE,7nTvm6EgmFWPLMLxj6aksS,7onc5441EbVUA9ArZZLZkJ
"CHOPPA SHOOT THE LOUDEST (with Chief Keef, feat.Trippie Redd)",7nTvm6EgmFWPLMLxj6aksS,2MyQK6cKu9IAzNXiBm7TD0
DID THAT,7nTvm6EgmFWPLMLxj6aksS,5rgCPO7k4kvWsuaCTwqPhs
ABOUT YOU (with NAV),7nTvm6EgmFWPLMLxj6aksS,098a0ODkRj8IUbEGVZMsyN
LOT OF ME,7nTvm6EgmFWPLMLxj6aksS,2ZXxRC6V6AXzMdbLQZMHSB
INVESTIGATION,7nTvm6EgmFWPLMLxj6aksS,5OJQtMs9lW7c8FdJQToqKh
YOU GOTTA GO DO BETTER,7nTvm6EgmFWPLMLxj6aksS,6Y4zAVf3zGirseAqMuyMFn
BANK TELLER (with Lil Yachty),7nTvm6EgmFWPLMLxj6aksS,3IxC6DfVAJ2bANOIliys9G
NADA,7nTvm6EgmFWPLMLxj6aksS,06RM1SWNkBbHR89WQvz4hK
MY SIDE,7nTvm6EgmFWPLMLxj6aksS,46yOT5iCvvQsHakl2aHhTN
WHATEVER,7nTvm6EgmFWPLMLxj6aksS,5nBYgyIxHIPo3i52GQvSeU
SHOOTERS,7nTvm6EgmFWPLMLxj6aksS,5Pm5aqS8l2fytzhix5Pucu
EVERYWHERE I GO,7nTvm6EgmFWPLMLxj6aksS,40A28bQyxfjQWmxh9ypIwg
Montania,3dwBW5p65buVtiTmr2a0Wl,6t3e2UfHXGVdxXJhPYj6Lg
Prologue,5CigVuEyiAYaNYx2M2w4hh,1whq3GZw5wcZ3zdxqPWZbL
Ol' Dood (Part I),5CigVuEyiAYaNYx2M2w4hh,4dbdtuNGvPePWflpzOE3Xb
"One in the Saddle, One on the Ground",5CigVuEyiAYaNYx2M2w4hh,27jy0KlPpQ37ggyppUdbgQ
Shamrock,5CigVuEyiAYaNYx2M2w4hh,2TgtHzz2v3jnNGZCVUXc4V
Played Out,5CigVuEyiAYaNYx2M2w4hh,7Ap7dwja7qowJlJL6gmVn6
Sam,5CigVuEyiAYaNYx2M2w4hh,1kKDVYavcoEH5N6R6ezM6T
Juanita,5CigVuEyiAYaNYx2M2w4hh,0Vtik6x9dLUPNoyIoJZm9I
Go in Peace,5CigVuEyiAYaNYx2M2w4hh,0wD2Ow0tFreEoTfWYt02gT
Epilogue,5CigVuEyiAYaNYx2M2w4hh,3AP88u0AMdrXbkN6ZUcdap
Ol' Dood (Part II),5CigVuEyiAYaNYx2M2w4hh,1s8hlQ0y144XJWrESrl8Yv
MERCEDES,2M3IBMpOszCjnxwG1sWOqT,0tkgmjBMU6qSxolAKB3f2H
Narcissist,0HZiTcB82OPdvbJ2Hny6bK,3LLezpquftwn7QI1rYIovM
Overwhelmed (Ryan Mack Remix),2TrwVayZ9oD42PkEI9Nk5Q,03eyNjBM2mpx28H6kdaufN
Drunk (And I Don't Wanna Go Home),6F6ZYE96lTFgzWotepEDhZ,0QULNNd9z5s35entfiiXoa
brutal,6s84u2TUpR3wdUv4NgKA2j,6SRsiMl7w1USE4mFqrOhHC
traitor,6s84u2TUpR3wdUv4NgKA2j,5CZ40GBx1sQ9agT82CLQCT
drivers license,6s84u2TUpR3wdUv4NgKA2j,5wANPM4fQCJwkGd4rN57mH
"1 step forward, 3 steps back",6s84u2TUpR3wdUv4NgKA2j,4wcBRRpIfesgcyUtis7PEg
deja vu,6s84u2TUpR3wdUv4NgKA2j,6HU7h9RYOaPRFeh0R3UeAr
good 4 u,6s84u2TUpR3wdUv4NgKA2j,4ZtFanR9U6ndgddUvNcjcG
enough for you,6s84u2TUpR3wdUv4NgKA2j,2TOzTqQXNmR2zDJXihjZ2e
happier,6s84u2TUpR3wdUv4NgKA2j,2tGvwE8GcFKwNdAXMnlbfl
"jealousy, jealousy",6s84u2TUpR3wdUv4NgKA2j,0MMyJUC3WNnFS1lit5pTjk
favorite crime,6s84u2TUpR3wdUv4NgKA2j,5JCoSi02qi3jJeHdZXMmR8
hope ur ok,6s84u2TUpR3wdUv4NgKA2j,1zejeOnykpCoyVSit6Bwp3
INDUSTRY BABY (feat. Jack Harlow),622NFw5Yk0OReMJ2XWcXUh,27NovPIUIRrOZoCHxABJwK
un-unnoticed,6qf1Qjmib5fOTb18Ju6uA9,2HJnb16vAsfoIQdO2J7A3g
miss me,6qf1Qjmib5fOTb18Ju6uA9,78NO8ptHSWTIAmjtZHxC7e
friends or not,6qf1Qjmib5fOTb18Ju6uA9,3yYWV3A4gFwH3reCvGBIWG
could you love me while i hate myself,6qf1Qjmib5fOTb18Ju6uA9,7uo2L5FAja3pWIBa3HJVeC
