artist_genres,artist_id
chicago rap,5g8mXUQcC8DVAHLwGGAIrJ
crunk,4Js9eYwAf9rypNtV8pNSw9
dirty south rap,4Js9eYwAf9rypNtV8pNSw9
north carolina hip hop,4Js9eYwAf9rypNtV8pNSw9
southern hip hop,4Js9eYwAf9rypNtV8pNSw9
indonesian hip hop,2IDLDx25HU1nQMKde4n61a
drift phonk,2W6WP4pHQTFlbr2z9S4n54
cali rap,1pWm8RcyiWZehSnb38i4fM
colombian pop,2LRoIwlKmHjgvigdNGBHNo
pop reggaeton,2LRoIwlKmHjgvigdNGBHNo
reggaeton colombiano,2LRoIwlKmHjgvigdNGBHNo
trap latino,2LRoIwlKmHjgvigdNGBHNo
urbano latino,2LRoIwlKmHjgvigdNGBHNo
teen pop,3Vl9fyKMIdLMswk8ai3mm9
reggaeton,1pgDilWYDWLoOgGjf1iHNu
urbano latino,1pgDilWYDWLoOgGjf1iHNu
kentucky hip hop,2EMAnMvWE2eb56ToJVfCWs
r&b,2EMAnMvWE2eb56ToJVfCWs
rap,2EMAnMvWE2eb56ToJVfCWs
k-pop,3Nrfpe0tUJi4K4DXYWgMUX
k-pop boy group,3Nrfpe0tUJi4K4DXYWgMUX
pop,3Nrfpe0tUJi4K4DXYWgMUX
east coast hip hop,13ubrt8QOOCPljQ2FL1Kca
hip hop,13ubrt8QOOCPljQ2FL1Kca
rap,13ubrt8QOOCPljQ2FL1Kca
trap,13ubrt8QOOCPljQ2FL1Kca
modern country pop,27R1aBy7FfkYevfYen4sMp
texas country,27R1aBy7FfkYevfYen4sMp
bounce,4mPrHfhtQUBoHgTxkBieLY
country rap,2pSObt5Fk8izuX8ZfI3jRn
redneck,2pSObt5Fk8izuX8ZfI3jRn
corrido,2Dlvgi70UoJJicfKgoW5Vo
musica mexicana,2Dlvgi70UoJJicfKgoW5Vo
norteno,2Dlvgi70UoJJicfKgoW5Vo
nueva musica mexicana,2Dlvgi70UoJJicfKgoW5Vo
north carolina hip hop,6BH1xcDkwbbyrLMUKECsW1
drift phonk,3Tv1UzQAvn0v0hKTxisXnR
viral pop,1bqxdqvUtPWZri43cKHac8
classic texas country,0Z8XVUAOBPM4x12wKnFHEQ
texas country,0Z8XVUAOBPM4x12wKnFHEQ
dancehall,2ExGrw6XpbtUAJHTLtUXUD
dancehall queen,2ExGrw6XpbtUAJHTLtUXUD
uk dancehall,2ExGrw6XpbtUAJHTLtUXUD
uk hip hop,2ExGrw6XpbtUAJHTLtUXUD
black americana,5OCZWZ399lBKgxBxE8cjRM
contemporary country,5OCZWZ399lBKgxBxE8cjRM
urbano latino,51XrH5fQP2oIQynuKxSWcW
memphis hip hop,3IG49Dhngr903hQWOFzmlh
irish pop,5LGo1zHegJTWzqVXgeNplt
kentucky hip hop,4FlG0V0jhLO4qGpayFOphj
memphis hip hop,4FlG0V0jhLO4qGpayFOphj
contemporary country,7z5WFjZAIYejWy0NI5lv4T
country,7z5WFjZAIYejWy0NI5lv4T
country road,7z5WFjZAIYejWy0NI5lv4T
k-pop,7n2Ycct7Beij7Dj7meI4X0
k-pop girl group,7n2Ycct7Beij7Dj7meI4X0
pop,7n2Ycct7Beij7Dj7meI4X0
florida rap,7BA072InWOjB1X7MZGOloy
alabama rap,3gGUMEwIX6XodWsYEvKSal
rap,3gGUMEwIX6XodWsYEvKSal
trap,3gGUMEwIX6XodWsYEvKSal
vapor trap,3gGUMEwIX6XodWsYEvKSal
rain,4xE3NbWDeC7BEIlzQIjG5H
sound,4xE3NbWDeC7BEIlzQIjG5H
hawaiian hip hop,1z7b1Pr1rSlvWRzsW3HOrS
white noise,7rybj6DFBE9HYjDsD4ILuA
cloud rap,3FCYSWNVmpjTCiwzJwbMAC
emo rap,3FCYSWNVmpjTCiwzJwbMAC
kansas city hip hop,1A8NEJYo3VW9aIZ6l55Dgu
dance pop,4AVFqumd2ogHFlRbKIjp1t
edm,4AVFqumd2ogHFlRbKIjp1t
pop,4AVFqumd2ogHFlRbKIjp1t
pop dance,4AVFqumd2ogHFlRbKIjp1t
tropical house,4AVFqumd2ogHFlRbKIjp1t
ccm,60JjUCBeLsuJ95WFvqFiFz
rap,5SXuuuRpukkTvsLuUknva1
electro latino,1wZtkThiXbVNtj6hee6dz9
reggaeton,1wZtkThiXbVNtj6hee6dz9
trap latino,1wZtkThiXbVNtj6hee6dz9
urbano latino,1wZtkThiXbVNtj6hee6dz9
arkansas country,371jpyGdoChzUASOIG2ECV
contemporary country,371jpyGdoChzUASOIG2ECV
country,371jpyGdoChzUASOIG2ECV
country road,371jpyGdoChzUASOIG2ECV
colombian pop,4vhNDa5ycK0ST968ek7kRr
latin pop,4vhNDa5ycK0ST968ek7kRr
vallenato,4vhNDa5ycK0ST968ek7kRr
alt z,37M5pPGs6V1fchFJSgCguX
la indie,37M5pPGs6V1fchFJSgCguX
pop,37M5pPGs6V1fchFJSgCguX
pov: indie,37M5pPGs6V1fchFJSgCguX
indie folk,1Tp7C6LzxZe9Mix6rn4zbI
stomp and holler,1Tp7C6LzxZe9Mix6rn4zbI
atl hip hop,1RyvyyTE3xzB2ZywiAwp0i
hip hop,1RyvyyTE3xzB2ZywiAwp0i
rap,1RyvyyTE3xzB2ZywiAwp0i
southern hip hop,1RyvyyTE3xzB2ZywiAwp0i
trap,1RyvyyTE3xzB2ZywiAwp0i
nz hip hop,3dnNuI5EU8TEdiAT73kj27
pop,5YGY8feqx7naU7z4HrwZM6
neo mellow,2oX42qP5ineK3hrhBECLmj
post-teen pop,2oX42qP5ineK3hrhBECLmj
otacore,4ET82ZtSfAK4utfjDauImD
banda,4J13m9IZh03PEhoxAxRhXO
corrido,4J13m9IZh03PEhoxAxRhXO
musica mexicana,4J13m9IZh03PEhoxAxRhXO
norteno,4J13m9IZh03PEhoxAxRhXO
sierreno,4J13m9IZh03PEhoxAxRhXO
chicago drill,7srh14kswDlgTIIK4SKdSf
dance pop,6aZyMrc4doVtZyKNilOmwu
neo mellow,6aZyMrc4doVtZyKNilOmwu
pop,6aZyMrc4doVtZyKNilOmwu
banda,4stSxe6AbpXw3x7nRDsYVX
corrido,4stSxe6AbpXw3x7nRDsYVX
musica mexicana,4stSxe6AbpXw3x7nRDsYVX
norteno,4stSxe6AbpXw3x7nRDsYVX
nueva musica mexicana,4stSxe6AbpXw3x7nRDsYVX
sierreno,4stSxe6AbpXw3x7nRDsYVX
contemporary country,0jPnVIasXzBYjrlpO5irii
reggaeton colombiano,5OBK3iQwjNQqElPmn4TgAE
urbano latino,5OBK3iQwjNQqElPmn4TgAE
alt z,3gIRvgZssIb9aiirIg0nI3
electropop,3gIRvgZssIb9aiirIg0nI3
pop,3gIRvgZssIb9aiirIg0nI3
australian hip hop,5J4lfhk7TjyGm6d3T0pqyV
modern country pop,2eIB6vFotL2su94z3pUC1j
atl hip hop,3ipn9JLAPI5GUEo4y4jcoi
dance pop,3ipn9JLAPI5GUEo4y4jcoi
dirty south rap,3ipn9JLAPI5GUEo4y4jcoi
hip hop,3ipn9JLAPI5GUEo4y4jcoi
old school atlanta hip hop,3ipn9JLAPI5GUEo4y4jcoi
pop rap,3ipn9JLAPI5GUEo4y4jcoi
rap,3ipn9JLAPI5GUEo4y4jcoi
southern hip hop,3ipn9JLAPI5GUEo4y4jcoi
trap,3ipn9JLAPI5GUEo4y4jcoi
reggaeton,7iK8PXO48WeuP03g8YR51W
trap latino,7iK8PXO48WeuP03g8YR51W
urbano latino,7iK8PXO48WeuP03g8YR51W
british singer-songwriter,3fCQnw6VSudXBTN5d2QP2z
rain,2oWN3OXJUk1mh7CAhkJeqX
trap queen,4ntfGY98LWEncjHnw0XBaj
atlanta indie,5szilpXHcwOqnyKLqGco5j
indie pop,5szilpXHcwOqnyKLqGco5j
trap latino,4axKuDPr6WKcDCyh8vueTY
urbano latino,4axKuDPr6WKcDCyh8vueTY
alabama rap,0gg11prPP6OqtUvBcKnPpq
atl trap,0gg11prPP6OqtUvBcKnPpq
memphis hip hop,0gg11prPP6OqtUvBcKnPpq
tennessee hip hop,0gg11prPP6OqtUvBcKnPpq
la pop,49tQo2QULno7gxHutgccqF
atl hip hop,13y7CgLHjMVRMDqxdx0Xdo
dirty south rap,13y7CgLHjMVRMDqxdx0Xdo
hip hop,13y7CgLHjMVRMDqxdx0Xdo
rap,13y7CgLHjMVRMDqxdx0Xdo
southern hip hop,13y7CgLHjMVRMDqxdx0Xdo
trap,13y7CgLHjMVRMDqxdx0Xdo
alternative r&b,3p3jPcp8b7WL9XYj4xlsWj
rap latina,3p3jPcp8b7WL9XYj4xlsWj
trap queen,3p3jPcp8b7WL9XYj4xlsWj
pop,7tYKF4w9nC0nq9CsPZTHyP
r&b,7tYKF4w9nC0nq9CsPZTHyP
rap,7tYKF4w9nC0nq9CsPZTHyP
gen z singer-songwriter,4pfy05cNNTacuOQ6SiSu4v
country pop,10I1X1Vygp2J6R4jP5gF10
k-pop,2YXlVLKq3X3soXd2aXUtIT
cali rap,4lPU30QB53QTUVhkjcb0WS
contemporary country,7lDVEkjIURPMyUYwoQRrpw
country road,7lDVEkjIURPMyUYwoQRrpw
modern country rock,7lDVEkjIURPMyUYwoQRrpw
modern country pop,7pEVNuJRlpDXlsrcq32yHp
reggaeton,5bWUlnPx9OYKsLiUJrhCA1
trap latino,5bWUlnPx9OYKsLiUJrhCA1
urbano latino,5bWUlnPx9OYKsLiUJrhCA1
plugg,46HzS7yz0c9udVwtbHk1sx
pluggnb,46HzS7yz0c9udVwtbHk1sx
rage rap,46HzS7yz0c9udVwtbHk1sx
modern salsa,36CUTsdtNgCwMq6zKD1l8I
movie tunes,36CUTsdtNgCwMq6zKD1l8I
salsa colombiana,36CUTsdtNgCwMq6zKD1l8I
ohio hip hop,6TIYQ3jFPwQSRmorSezPxX
pop rap,6TIYQ3jFPwQSRmorSezPxX
canadian singer-songwriter,4SOtk3HtPYKqxnVuxNBMti
indie folk,4SOtk3HtPYKqxnVuxNBMti
conscious hip hop,0EeQBlQJFiAfJeVN2vT9s0
gangster rap,0EeQBlQJFiAfJeVN2vT9s0
hip hop,0EeQBlQJFiAfJeVN2vT9s0
pop rap,0EeQBlQJFiAfJeVN2vT9s0
rap,0EeQBlQJFiAfJeVN2vT9s0
southern hip hop,0EeQBlQJFiAfJeVN2vT9s0
trap,0EeQBlQJFiAfJeVN2vT9s0
hip pop,0hCNtLu0JehylgoiP8L4Gh
pop,0hCNtLu0JehylgoiP8L4Gh
queens hip hop,0hCNtLu0JehylgoiP8L4Gh
rap,0hCNtLu0JehylgoiP8L4Gh
afrofuturism,3rWZHrfrsPBxVy692yAIxF
pop,3rWZHrfrsPBxVy692yAIxF
post-teen pop,3rWZHrfrsPBxVy692yAIxF
pov: indie,3rWZHrfrsPBxVy692yAIxF
australian indie,574ERIqzZ5yZU9JhIf3Ysf
alternative r&b,1xQIR56DxgWYZPUvOLRIua
dancehall,1xQIR56DxgWYZPUvOLRIua
pop rap,0WK3H9OErSn5zKOkOV5egm
socal indie,58eJhHRICp87T2IFcP0bYh
black americana,147nKr9upHZSSxqCzh9j7c
contemporary country,147nKr9upHZSSxqCzh9j7c
country road,147nKr9upHZSSxqCzh9j7c
modern country rock,147nKr9upHZSSxqCzh9j7c
austin hip hop,3M1quhETLChtt9NHKVaajX
memphis hip hop,3M1quhETLChtt9NHKVaajX
southern hip hop,3M1quhETLChtt9NHKVaajX
conscious hip hop,20qISvAhX20dpIbOOzGK3q
east coast hip hop,20qISvAhX20dpIbOOzGK3q
gangster rap,20qISvAhX20dpIbOOzGK3q
hardcore hip hop,20qISvAhX20dpIbOOzGK3q
hip hop,20qISvAhX20dpIbOOzGK3q
queens hip hop,20qISvAhX20dpIbOOzGK3q
rap,20qISvAhX20dpIbOOzGK3q
modern country pop,5ujvZU2thXjZgFKPUt1rDt
video game music,3wrFoI9EVjWg6m8xXeWr5t
alternative r&b,6lay1nwbE6hTx1jivysUAL
escape room,6lay1nwbE6hTx1jivysUAL
lgbtq+ hip hop,6lay1nwbE6hTx1jivysUAL
trap queen,6lay1nwbE6hTx1jivysUAL
panamanian pop,77ziqFxp5gaInVrF2lj4ht
reggaeton,77ziqFxp5gaInVrF2lj4ht
trap latino,77ziqFxp5gaInVrF2lj4ht
urbano latino,77ziqFxp5gaInVrF2lj4ht
banda,1YhMWppPt9RVODKD1KCs7W
mariachi,1YhMWppPt9RVODKD1KCs7W
musica mexicana,1YhMWppPt9RVODKD1KCs7W
norteno,1YhMWppPt9RVODKD1KCs7W
ranchera,1YhMWppPt9RVODKD1KCs7W
bedroom soul,5WU8v5r46LwBAwXGGCQygh
experimental r&b,5WU8v5r46LwBAwXGGCQygh
aesthetic rap,2y246nnP9pQT0E6v3ZMMOO
canadian hip hop,2y246nnP9pQT0E6v3ZMMOO
canadian trap,2y246nnP9pQT0E6v3ZMMOO
cloud rap,2y246nnP9pQT0E6v3ZMMOO
dark trap,2y246nnP9pQT0E6v3ZMMOO
ottawa rap,2y246nnP9pQT0E6v3ZMMOO
urbano latino,6Itjwvv5YmsC8ZcI5N4Jux
hollywood,5nwjcZ87CGNRiO98nFKdOD
canadian electropop,6Wt2zqLZOrA36sooqmAvFH
montreal indie,6Wt2zqLZOrA36sooqmAvFH
indonesian r&b,2kxP07DLgs4xlWz8YHlvfh
corrido,4pQxRQ2bUyVpk89wzztCLw
corridos tumbados,4pQxRQ2bUyVpk89wzztCLw
sad sierreno,4pQxRQ2bUyVpk89wzztCLw
sierreno,4pQxRQ2bUyVpk89wzztCLw
rain,53Ogdlq3YW29r02FV64tYH
k-pop,3HqSLMAZ3g3d5poNaI7GOU
pop,3HqSLMAZ3g3d5poNaI7GOU
corrido,0elWFr7TW8piilVRYJUe4P
corridos tumbados,0elWFr7TW8piilVRYJUe4P
musica mexicana,0elWFr7TW8piilVRYJUe4P
nueva musica mexicana,0elWFr7TW8piilVRYJUe4P
sad sierreno,0elWFr7TW8piilVRYJUe4P
sierreno,0elWFr7TW8piilVRYJUe4P
bedroom pop,35l9BRT7MXmM8bv2WDQiyB
bubblegrunge,35l9BRT7MXmM8bv2WDQiyB
indie pop,35l9BRT7MXmM8bv2WDQiyB
pov: indie,35l9BRT7MXmM8bv2WDQiyB
hip hop,5dHt1vcEm9qb8fCyLcB3HL
pop rap,5dHt1vcEm9qb8fCyLcB3HL
rap,5dHt1vcEm9qb8fCyLcB3HL
southern hip hop,5dHt1vcEm9qb8fCyLcB3HL
trap,5dHt1vcEm9qb8fCyLcB3HL
alternative hip hop,0eVyjRhzZKke2KFYTcDkeu
drumless hip hop,0eVyjRhzZKke2KFYTcDkeu
hip hop,0eVyjRhzZKke2KFYTcDkeu
instrumental hip hop,0eVyjRhzZKke2KFYTcDkeu
west coast rap,0eVyjRhzZKke2KFYTcDkeu
dirty south rap,35sCXuy5gN6Or69rZ9vqBs
southern hip hop,35sCXuy5gN6Or69rZ9vqBs
cali rap,7oXvysW3peGY3AEa17WoFt
alabama rap,5yy76ufVriyvidNSvXlRU1
argentine hip hop,716NhGYqD1jl2wI1Qkgq36
pop venezolano,716NhGYqD1jl2wI1Qkgq36
trap argentino,716NhGYqD1jl2wI1Qkgq36
trap latino,716NhGYqD1jl2wI1Qkgq36
urbano latino,716NhGYqD1jl2wI1Qkgq36
lgbtq+ hip hop,7jVv8c5Fj3E9VhNjxT4snq
indie fuzzpop,34me8hAxavRmcDIwhxa3b7
mississippi indie,34me8hAxavRmcDIwhxa3b7
anime,0bAsR2unSRpn6BQPEnNlZm
anime rock,0bAsR2unSRpn6BQPEnNlZm
j-pixie,0bAsR2unSRpn6BQPEnNlZm
j-pop,0bAsR2unSRpn6BQPEnNlZm
j-poprock,0bAsR2unSRpn6BQPEnNlZm
banda,5bSfBBCxY8QAk4Pifveisz
musica mexicana,5bSfBBCxY8QAk4Pifveisz
norteno,5bSfBBCxY8QAk4Pifveisz
memphis hip hop,6CHFq8hiVCpHsNKsP2aMw2
atl hip hop,17lzZA2AlOHwCwFALHttmp
hip hop,17lzZA2AlOHwCwFALHttmp
pop rap,17lzZA2AlOHwCwFALHttmp
rap,17lzZA2AlOHwCwFALHttmp
southern hip hop,17lzZA2AlOHwCwFALHttmp
