artist_id,track_id,artist_names
4oUHIQIBe0LHzYfvXNW4QM,3cBsEDNhFI9E82vPj3kvi3,Morgan Wallen
12GqGscKJx3aE4t07u7eVZ,2VzCjpKvPB1l1tqLndtAQa,Peso Pluma
2jku7tDXc6XoB6MO2hFuqg,3azJifCSqg9fRij2yKIbWz,Tory Lanez
3TVXtAsR1Inumwj472S9r4,2BcMwX1MPV6ZHP4tUT9uq6,Drake
1URnnhqYAYcrqrcwql10ft,2BcMwX1MPV6ZHP4tUT9uq6,21 Savage
08Ld63UgKrJ0nZnCkzHtzc,2BcMwX1MPV6ZHP4tUT9uq6,Project Pat
4oUHIQIBe0LHzYfvXNW4QM,5OELUCYgOHKFAvCERnAvfS,Morgan Wallen
5SXuuuRpukkTvsLuUknva1,3QFInJAm9eyaho5vBzxInN,Baby Keem
2YZyLoL8N0Wb9xBt1NhZWg,3QFInJAm9eyaho5vBzxInN,Kendrick Lamar
77kULmXAQ6vWer7IIHdGzI,69AIpwGNLxr4qS1X5ynx60,Jordan Davis
0BvkDsjIUla7X0k6CSWh1I,69AIpwGNLxr4qS1X5ynx60,Luke Bryan
3TVXtAsR1Inumwj472S9r4,65OVbaJR5O1RmwOQx0875b,Drake
5f7VJjfbwm532GiveGC0ZK,65OVbaJR5O1RmwOQx0875b,Lil Baby
3TVXtAsR1Inumwj472S9r4,40iJIUlhi6renaREYGeIDS,Drake
0Y5tJX1MQlPlqiwlOH1tJY,40iJIUlhi6renaREYGeIDS,Travis Scott
7qmpXeNz2ojlMl2EEfkeLs,4h4QlmocP3IuwYEj2j14p8,Nicky Youre
38PzLQE4GW8o7A18oGhi0x,4h4QlmocP3IuwYEj2j14p8,dazy
4oUHIQIBe0LHzYfvXNW4QM,0uRrG2jRR5tuifsYIJHEao,Morgan Wallen
06HL4z0CvFAxyc27GXpf02,5enxwA8aAbwZbf5qCHORXi,Taylor Swift
4oUHIQIBe0LHzYfvXNW4QM,0mKnuxVkPi5h0kuvZl44VM,Morgan Wallen
1gl0S9pS0Zw0qfa14rDD3D,7EkWXAI1wn8Ii883ecd9xr,Surf Curse
7htQnykNfk2Bu39bSw7owz,3L1JHXiqNOJ57w3n2R3HyU,ame
4oUHIQIBe0LHzYfvXNW4QM,4obHzpwGrjoTuZh2DItEMZ,Morgan Wallen
06HL4z0CvFAxyc27GXpf02,1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift
1McMsnEElThX1knmY4oliG,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo
6AgTAQt8XS6jRWi4sX7w49,18vXApRmJSgQ6wG2ll9AOg,Polo G
4oUHIQIBe0LHzYfvXNW4QM,075qcpR3BnxD5CWUIx1HTr,Morgan Wallen
78rUTD7y6Cy67W1RVzYs7t,4S4QJfBGGrC8jRIjJHf1Ka,PinkPantheress
6l3HvQ5sa6mXTsMTB19rO5,1D3z6HTiQsNmZxjl7F7eoG,J. Cole
1URnnhqYAYcrqrcwql10ft,1D3z6HTiQsNmZxjl7F7eoG,21 Savage
44vREmJC0OlVZjZaGLqVEd,1D3z6HTiQsNmZxjl7F7eoG,Morray
6EPlBSH2RSiettczlz7ihV,4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow
3qiHUAX7zY4Qnjx8TNUzVx,7BbaIYAdi3pg4MGl6PHwPv,Yeat
6qqNVTkY8uBg9cP3Jd7DAH,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish
6eUKZXaKkcviH0Ku9w2n3V,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran
1McMsnEElThX1knmY4oliG,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo
1uNFoZAHBGtllmzznpCI3s,6I3mqTwhRpn34SLVafSH7G,Justin Bieber
19k8AgwwTSxeaxkOuCQEJs,25VQoiuyc0HkC5FQTj1a8G,Jelly Roll
6zLBxLdl60ekBLpawtT63I,5AihIu9yF3flkw1jFMyfwW,Cody Johnson
1McMsnEElThX1knmY4oliG,6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo
06HL4z0CvFAxyc27GXpf02,1qrpoAMXodY6895hGKoUpA,Taylor Swift
5hKGLu4Ik88FzWcTPhWNTN,2ksyzVfU0WJoBpu8otr4pz,INTERWORLD
5cj0lLjcoR7YOSnhnX0Po5,6Uj1ctrBOjOas8xZXGqKk4,Doja Cat
1McMsnEElThX1knmY4oliG,5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo
4V8LLVI7PbaPR0K2TGSxFF,3EG9FJ0ToLfgnc1IG2Z1wz,"Tyler, The Creator"
3tlXnStJ1fFhdScmQeLpuG,3EG9FJ0ToLfgnc1IG2Z1wz,Brent Faiyaz
4yJHrytMK7mqtKsXVGaBNg,3EG9FJ0ToLfgnc1IG2Z1wz,Fana Hues
46HzS7yz0c9udVwtbHk1sx,7nc7mlSdWYeFom84zZ8Wr8,Cochise
5IbEL2xjRtKsunfmsahLuO,7nc7mlSdWYeFom84zZ8Wr8,$NOT
