album_id,album_name,album_artists,album_artists_id,album_total_tracks,album_tracks,album_tracks_id,album_popularity
3cLQ49Ll3nGRkw3HSSk92K,Expensive Pain,['Meek Mill'],['20sxb77xiYeusSH8cVdatc'],18,"['Intro (Hate on Me)', 'Outside (100 MPH)', 'On My Soul', 'Sharing Locations (feat. Lil Baby & Lil Durk)', 'Expensive Pain', 'Ride For You (feat. Kehlani)', 'Me (FWM) (feat. A$AP Ferg)', 'Hot (feat. Moneybagg Yo)', 'Love Train', 'Northside Southside (feat. Giggs)', 'We Slide (feat. Young Thug)', 'Tweaking (feat. Vory)', 'Love Money', 'Blue Notes 2 (feat. Lil Uzi Vert)', 'Angels (RIP Lil Snupe)', 'Cold Hearted III', 'Halo (feat. Brent Faiyaz)', 'Flamerz Flow - Bonus Track']","['4s7TIubkdsgdtDEDFEAYVL', '67lvhLT01Fq3GEIrt5RpPn', '1cHFHTOMDb3zHcDwumFSCw', '3T9BKc4kB7ukeNQrCqv6ZV', '7eDkIDGKVe5B5RmTiEPiXJ', '4YFPUYwA9Jmk9xQYCbz3zb', '4IfJuDOnqRfVVnzsDaqPeL', '5qyZ6LcHvBiIHLaoED8K4g', '7u5305l9KSUD6hKfpl3QSQ', '6GihDPzqj62VkQVfLHncUn', '43JY1IBWONa8J8FqlbNOZ1', '0OOQ6JTTFaWIoUWc6r33w4', '516yVjzyKYeJKskGiihHLD', '2kdhiombBoiHjvSKG3EI0m', '1By8AKvkR2RCDKQ4Mnjsgi', '5YvbzxTKDBF5Sd1ki1pBiR', '3piDAA6ss4lG0QbhvZ3WPF', '0z7HAJs2XYlGikScW9cEZz']",66
5eCmZVM5Kspu2B1cyVdSqq,Ashlyn,['Ashe'],['6P5NO5hzJbuOqSdyPB7SJM'],14,"['Till Forever Falls Apart', ""I'm Fine"", 'Love Is Not Enough', ""When I'm Older"", 'Me Without You', 'Save Myself', 'Taylor', 'Not Mad Anymore', 'Always', 'Moral of the Story', 'Serial Monogamist', 'Ryne’s Song', 'Kansas', 'Moral of the Story (feat. Niall Horan) - Bonus Track']","['4x5YzxjrF9wvIIXJV7TveC', '4mBzAVxr3Mias8T4zWF52D', '0iMjtK5euENXVYrmeb9y9X', '09Qrzf6qOsYDL1yz9tFUS0', '0Rz810tdw9rgLr9dSMhl9j', '3MBdq6U779PbN8WSfsRZAx', '33DjISMeG3soMK5xelKIsd', '52mzfAbzLhjOH2IbXl8ILZ', '3dqm5MyYysZrnR1mLMSWx1', '69HzZ3ti9DLwb0GdWCGYSo', '4bwIa2s5YlZx8d4y39QRtL', '6xNz3BbD82U34ogqxVpw1Y', '6s1BnnN2lASncbZ4qRjGSc', '5v6qYImm5k36GHlFxdEZyv']",76
6s84u2TUpR3wdUv4NgKA2j,SOUR,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],11,"['brutal', 'traitor', 'drivers license', '1 step forward, 3 steps back', 'deja vu', 'good 4 u', 'enough for you', 'happier', 'jealousy, jealousy', 'favorite crime', 'hope ur ok']","['6SRsiMl7w1USE4mFqrOhHC', '5CZ40GBx1sQ9agT82CLQCT', '5wANPM4fQCJwkGd4rN57mH', '4wcBRRpIfesgcyUtis7PEg', '6HU7h9RYOaPRFeh0R3UeAr', '4ZtFanR9U6ndgddUvNcjcG', '2TOzTqQXNmR2zDJXihjZ2e', '2tGvwE8GcFKwNdAXMnlbfl', '0MMyJUC3WNnFS1lit5pTjk', '5JCoSi02qi3jJeHdZXMmR8', '1zejeOnykpCoyVSit6Bwp3']",93
35qVMfUfBN6q2xzm9rZn5a,INSIDE,['Bo Burnham'],['2Waw2sSbqvAwK8NwACNjVo'],21,"['Content', 'Comedy', 'FaceTime with my Mom (Tonight)', 'How the World Works', 'White Woman’s Instagram', 'Unpaid Intern', 'Bezos I', 'Sexting', 'Look Who’s Inside Again', 'Problematic', '30', ""Don't Wanna Know"", 'Shit', 'All Time Low', 'Welcome to The Internet', 'Bezos II', 'That Funny Feeling', 'All Eyes On Me', 'Goodbye', 'Any Day Now', 'All Eyes On Me (Song Only)']","['4GDL4Rl9ov0OctWIm6ZkoR', '50MhgV5PrQmCSuEELaYp9R', '5sGFZ43saHla4skp3HG6VZ', '1zsbPstcJxnY0zuKFFOKKZ', '20bNmfHntXFvYInCEQZYfp', '6FY7iUeQAlAGqb9E1GDSPx', '5aszL9hl6SBzFNsOvw8u8w', '3avX8UzaJ5PQUm4YBFWCAm', '0lZZ8pibk6Zu3M9hTthk1a', '54raQ1qeuAqfsQ3A5k7L8A', '7q2vosjX9aP8XxKFs7nakK', '4MsBOGhjM996rL6sf0i0n7', '3FFYH9A5rLqohxQhNW4Qka', '4LtLbmRErvtrNrYR6gbhh7', '3s44Qv8x974tm0ueLexMWN', '2lP7CnBYhKaOIBGxHqARRR', '5CU5CRWy6PjUJsHCVbkYI2', '2Q6RiCAKOrxRYtvl9pcpjY', '2ySaltE2swk0QsimILPK05', '4gQbBplIj1IOBkf1APn6gf', '5RXycwlyNdmAYB5srQ4lk2']",78
576UTio7xgY7YUxrHMzxeI,F*CK LOVE 3+: OVER YOU,['The Kid LAROI'],['2tIP7SsRs7vjIcLrU85W8J'],35,"['OVER YOU', 'NOT SOBER (feat. Polo G & Stunna Gambino)', 'STAY (with Justin Bieber)', 'SAME ENERGY', ""DON'T LEAVE ME (feat. G Herbo & Lil Durk)"", 'BAD NEWS', 'STILL CHOSE YOU (feat. Mustard)', ""I DON'T KNOW"", 'ABOUT YOU', 'LONELY AND F*CKED UP', 'SITUATION', 'ATTENTION', 'BEST FOR ME', 'PIKACHU', 'SO DONE', 'TRAGIC (feat. Youngboy Never Broke Again & Internet Money)', 'ALWAYS DO', 'FEEL SOMETHING (feat. Marshmello)', 'F*CK YOU, GOODBYE (feat. Machine Gun Kelly)', 'WITHOUT YOU', 'BOOTY CALL (skit)', 'MAYBE', 'WRONG (feat. Lil Mosey)', 'I WISH', 'NOT FAIR (feat. Corbin)', 'BATHROOM (skit)', 'GO (feat. Juice WRLD)', 'TELL ME WHY', 'SAME THING', 'NEW GUY (skit)', 'ERASE U', 'RUNNING', 'WISH YOU WELL (skit)', 'NEED YOU MOST (So Sick)', 'SELFISH']","['23JVRF8F2C1TV2QDDNn213', '29t9XYOV65fFXiVzFFJgHH', '567e29TDzLwZwfDuEpGTwo', '0oSVZClSSfn4aacXvdmkuj', '2n1XN46reBpu5I9wDwzZMP', '6oFJuAS9OYFfMRFJ08SI1S', '7xJqJxiM5f0BZQLWCbOuWz', '7azFd0yynobtMV5yIlG5H0', '5G7P83QgRGqnzJZmMJuxOH', '39KjdyH9mQhJ4rcrNNrXYa', '4x5Xqnp2mJnHX2hwGOHbVS', '5JrljwNvTFN6y7b5a5Nzq7', '5TqyBpQregEG4VMK767HSB', '6V6kANaDjDcFSOoLV6RRld', '5YnxnTS89l3FElIwfIAeSs', '6ilmDtTR9yGrZCIOnMLNQy', '7gCe88FGMlkyURLPxglbAo', '7uIgmq5lixaNDaYcUDSsC3', '0c34ovpXiMWWUbKX0IavIH', '1KMkcUvF7m3SDChDOa7i5L', '2fLfobBrRNolLyE3J5xcOG', '3WzfXRam19wUFgssP4Zq6z', '32cDvfCsazF1frFWcaMjc1', '3A56JH6cQxacCZwTsptBzI', '10XwT9r62bJtgK07aaitUk', '4BhDYmhCmMZCUmPxjzWtDX', '4lH5L59hPQGr05aJyb2Q2E', '40DD3lGA9Xkp4InlWyqT9z', '2c5LB4wbweJ73WA8t0GxY6', '4ptpUofmWMGsb8Xg1138L3', '298My2E9vU1ihwi7deeeZM', '6LRl4EPstQ6LyJmsltZoza', '27jvPeF0CzGiIc6luvkQJT', '0wHxD9Aq67t0kBQjIIo6u3', '2XnyJuFQPSQmhrncI7mNoO']",86
2ZaFqYD9a3U6qJhyS2LDRf,"Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]","['Skylar Grey', 'Polo G', 'Eminem']","['4utLUGcTvOJFr6aqIJtYWV', '6AgTAQt8XS6jRWi4sX7w49', '7dGJo4pcD2V6oG8kP0tJRR']",1,"['Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage']",['5W8HXMOMLtXLz0RGKUtnlZ'],64
4tokbQaFXRrq8keVGBD9vb,Motley Crew,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],1,['Motley Crew'],['40uMIn2zJLAQhNXghRjBed'],69
6rdVcCcUOkf0UbuEm7i5Tu,One Eighty,['Ashley Kutcher'],['1Zi1c8sWZTy5rDiN3lAuEj'],8,"['Strangers', 'The Night You Left', 'Love You From a Distance', 'If I Could', ""When You're Not Okay"", 'Favorite What If', 'Fake Bitches', 'Care Enough For Two (Acoustic)']","['3p6CJ6SEqeE2ar8EGHx1XU', '1lgNvkh1uWb0nleFISX63Y', '4bpyaPa1xruVgE2GtsYbIW', '0ECMzCZeBbQl6HkBl09gtC', '1Z5z6Xv44Kg8NEy47VJojg', '4KVMDzvhLJfrjmvouATJCH', '4RVYmiWL33ICcwvQMrA2Yr', '0mkkwYsNOQrRjAyMtOcd07']",64
0brMHlMYz5t58uT1Q4bkdF,Harmony House,['Dayglow'],['6eJa3zG1QZLRB3xgRuyxbm'],11,"['Something', 'Medicine', 'Balcony', 'December', 'Close To You', 'Crying on the Dancefloor', 'Into Blue', 'Moving Out', 'Woah Man', 'Strangers', 'Like Ivy']","['6SlQR7NAOXI4UArPr4oCk8', '1L0lUX7S4YG0pdt1V2yRrb', '2JLjlI1OGUSHL32Ex733IB', '7F3pOHVAlhMFW9XYhYGvBE', '50PyquzZ9BaBwLZZd1AuuV', '34bkeltN0CGAKzj4DRG4sX', '2oZdov5FrhHnTXm55kvr5P', '1rxy8yul7ENGqZ3sVPgznJ', '2BGLJ2TvnOQwZ1pT81TIBl', '5xchDN02Dk2BRljtcAmYu7', '3rOvSnWzbzKRAXn0C4aKYb']",66
4uLn2Ci7bNaHSZ0tBHYlxt,In My Mind,['Lyn Lapid'],['4pfy05cNNTacuOQ6SiSu4v'],1,['In My Mind'],['2W779g2UrRZtVdf3FcEOO1'],63
