artist_id,artist_name,artist_popularity,artist_genres,artist_followers
6RHTUrRF63xao58xh9FXYJ,IVE,79,"['k-pop', 'k-pop girl group']",2131253
7dOvC6mtaZ6jvuReZwMkkM,AO Meally,19,[],7
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,78,"['escape room', 'hip hop', 'indie soul', 'neo soul']",2345238
37BIBvfliXJpSgn10yQUJM,Mr. Naisgai,58,[],2277
0mA4dkNGiN4fqTBi2SLlAv,Edgardo Nuñez,73,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",545986
568Mijeve4yb7rwe9EYDSn,Grupo Primer Proyecto,7,[],2
3HShZ9OYr5GdhHI8DU9Yzy,Duvy,49,['canadian hip hop'],23077
4IVAbR2w4JJNJDDRFP3E83,6LACK,76,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",4214626
0lAWpj5szCSwM4rUMHYmrr,Måneskin,81,"['indie rock italiano', 'italian pop', 'pop']",7321669
4o6dCIkmONTJL0ByDDUNYd,Mind’s Eye,51,[],27781
0EBQs3FuhHrwUixSsKI2Dn,Zkeircrow,15,[],40
4axKuDPr6WKcDCyh8vueTY,Luar La L,69,"['trap latino', 'urbano latino']",295935
246dkjvS1zLTtiykXe5h60,Post Malone,89,"['dfw rap', 'melodic rap', 'pop', 'rap']",40596569
1EnZjgGD81emhSdq6adEKt,GRAVECHILL,58,"['chill phonk', 'drift phonk']",30190
2L9DVKDXY3W8uRl5TwLbMC,Colby Acuff,52,['modern country pop'],30329
6IiZemRMna678qNhiRkYI5,Bedouine,45,"['chamber folk', 'chamber pop', 'indie folk']",85406
5SXuuuRpukkTvsLuUknva1,Baby Keem,79,['rap'],1473687
3e7awlrlDSwF3iM0WBjGMp,Little Mix,76,"['girl group', 'pop', 'talent show', 'uk pop']",11381588
6AMd49uBDJfhf30Ak2QR5s,Coi Leray,79,"['new jersey underground rap', 'trap queen']",561463
4JU62Q03lowoifgSp6ffuU,Seuss Mace,27,[],3186
5g63iWaMJ2UrkZMkCC8dMi,Lil Tracy,71,"['cloud rap', 'melodic rap']",644927
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,86,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",3983319
3YCKuqpv9nCsIhJ2v8SMix,Elevation Worship,73,"['ccm', 'christian music', 'worship']",2355165
0y33MPw94ln3pVCaRYAfE8,Syko Bob,26,[],4725
4qUoZ6ErhTYFhAI0W1iI9q,Ezekiel,60,"['hyperpop', 'sigilkore', 'sped up']",97374
2L0WmgzvOHv3xAbc3NY3K6,pluvia,56,"['environmental', 'rain']",655
6eYFryfcEu3QSq59D62wZQ,Brendon Urie,63,[],103412
1ZbmerOthZbxz5eR3c9Mn1,Icewear Vezzo,57,"['detroit hip hop', 'detroit trap', 'florida drill', 'memphis hip hop']",156052
6tPHARSq45lQ8BSALCfkFC,Lainey Wilson,71,"['contemporary country', 'modern country pop']",234994
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,80,"['indie pop', 'la indie', 'pov: indie']",1740800
3StB6ddX8vfwCGVD9HlNUw,Take A Daytrip,43,[],15507
38epWdyauFwdRkldqUMfWE,Chucky73,58,"['trap dominicano', 'trap latino']",209175
3qqkHeEhezlIaNj1vFYH2r,spill tab,52,['modern indie pop'],74547
1skQAGBqxcg6PiiioSVtKp,Scary Light,7,[],47
6AUl0ykLLpvTktob97x9hO,Tee Grizzley,68,"['detroit hip hop', 'detroit trap', 'rap', 'southern hip hop', 'trap']",3350932
5D7x9esAF6twPxuOqSMkeO,Justin Morales,58,"['corrido', 'corridos tumbados', 'sierreno']",296634
3444S3C4U9Ts86BnCtSPRV,Treaty Oak Revival,55,['texas country'],20784
3kft86DbqCNr7rjq3pEj0G,Sarah Cothran,58,['gen z singer-songwriter'],273625
60JjUCBeLsuJ95WFvqFiFz,Dante Bowe,60,['ccm'],171240
6eJa3zG1QZLRB3xgRuyxbm,Dayglow,67,"['austindie', 'indie rock', 'pov: indie']",889549
2IDLDx25HU1nQMKde4n61a,Rich Brian,69,['indonesian hip hop'],2157350
0aOIluXr131XqrXFwFCFGT,Sevek,65,[],11284
1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny,65,"['contemporary country', 'country road', 'heartland rock', 'modern country rock']",393639
2C32BFATM0fyN4FFTl3fHe,Royal Rain,51,['rain'],195
3j0NWNepdxwMo3NXEnhcol,Tiffany Tatreau,44,[],1484
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,74,"['alternative pop rock', 'pov: indie']",1087457
0eRbECAGCLLiTyVXPBRexU,Jon Batiste,60,['new orleans jazz'],311648
4j2Nl10LgodE4eE60kwa72,Yo Baby,7,[],396
4lhUHpVOXmkEBGGHV71QCh,Chance Peña,66,[],92966
31t9hT68QYCDPWkkUVrQjY,Bravo the Bagchaser,53,['cali rap'],81837
0OO76E5lRfeyBI3fkA73Dr,siouxxie sixxsta,58,"['glitchcore', 'hyperpop', 'sped up']",180654
4pQxRQ2bUyVpk89wzztCLw,Los Del Limit,62,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",615238
7tFehEdzjjoeiwUExR89qs,KANKAN,62,"['pluggnb', 'rage rap']",235689
4DW34vji6G9GgGY0k2mic7,Chad Smith,49,['rock drums'],2896
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,78,"['ohio hip hop', 'pop rap']",5062474
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,76,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",3674789
3MdXrJWsbVzdn6fe5JYkSQ,Latto,72,['trap queen'],1034952
5cdrxr9s52oZCf78xOLa4R,Tee,48,[],2914
6wDDxmc6DCL53dpL6uMjqM,Wassup Rocker,51,['aesthetic rap'],25784
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,89,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",25990503
6kPf6aO5cAHU2RJUDN1UUy,Beto Sierra,62,[],19417
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,76,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2584035
5L15t6I0PQS9SBXbiklPEN,Summrs,63,"['glitchcore', 'plugg']",262516
15ZjD8Gus20Miqw3fdOaXX,Stunna Gambino,53,['nyc rap'],85695
15iVAtD3s3FsQR4w1v6M0P,Chief Keef,74,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",3852916
22y08IZx7u6SWpsfap1Cub,Rio Romeo,57,"['pov: indie', 'weirdcore']",130664
5yy76ufVriyvidNSvXlRU1,Clever,60,['alabama rap'],72360
6dLuQ5qXxIuWc5urxfIiZR,Calle 24,69,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",312871
7qmLUka1qXXjTqoYxQD9dY,Ballgreezy,7,[],77
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,75,"['r&b', 'rap']",6345590
7MbxdnkfBJ2STy1K8VzbzJ,The Frequency Shifters,55,[],298
6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,71,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",2027690
4fpwOzxFRMVGfd197dKIdY,Boldy James,63,"['alternative hip hop', 'boom bap', 'drumless hip hop']",135620
0z7Yuv7DuDQ5SaVn4VSlLt,Lisa Hannigan,54,"['irish rock', 'irish singer-songwriter']",177158
7rkW85dBwwrJtlHRDkJDAC,NAV,74,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'toronto rap', 'trap']",3294956
1YhMWppPt9RVODKD1KCs7W,El Bebeto,63,"['banda', 'mariachi', 'musica mexicana', 'norteno', 'ranchera']",2245893
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,83,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",12432934
10I1X1Vygp2J6R4jP5gF10,Chris Bandi,40,['country pop'],26905
4QTUTpSoTX3n9uMvuvyQsy,Hope,42,['mgp'],2937
6Vy1VMVCyTgbcmA1iz0QFg,Eli Fross,55,['brooklyn drill'],107945
4TshyQDihSYXSWqvclXl3I,Parmalee,63,"['contemporary country', 'country road', 'modern country rock', 'modern uplift']",206180
5CiGnKThu5ctn9pBxv7DGa,benny blanco,72,['pop'],1048107
3uwAm6vQy7kWPS2bciKWx9,girl in red,74,"['alt z', 'bedroom pop', 'indie pop', 'norwegian indie', 'pop', 'pov: indie']",5974362
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,72,"['alt z', 'electropop', 'pop']",2147664
6qW2MCeqjNlMwiLl0JPbuZ,framed,59,['sped up'],67680
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,82,"['brooklyn drill', 'rap']",12468326
4Js9eYwAf9rypNtV8pNSw9,Petey Pablo,59,"['crunk', 'dirty south rap', 'north carolina hip hop', 'southern hip hop']",505950
5BozIJTTNCufaZpjhy2der,DJ Dahi,59,[],4913
4LWwYvKY3xAcMVHsLxaaPV,Lil Hank,24,[],115
44vREmJC0OlVZjZaGLqVEd,Morray,64,['pop rap'],212264
6nVcHLIgY5pE2YCl8ubca1,Jhayco,83,"['reggaeton', 'trap latino', 'urbano latino']",6009319
7xXZvo6uN6Zm1DBnoFzJIN,J King,28,[],439
4L2dV3zY7RmkeiNO035Fi0,Mufasa & Hypeman,62,[],11100
6lay1nwbE6hTx1jivysUAL,Princess Nokia,60,"['alternative r&b', 'escape room', 'lgbtq+ hip hop', 'trap queen']",586110
