track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,-5.24,0.0318,0.373,0.00107,0.126,0.252,196.0,178520
2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,-7.19,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,239845
3azJifCSqg9fRij2yKIbWz,0.645,0.534,-10.8,0.0479,0.157,0.0,0.0863,0.463,105.02,226467
2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887,242966
5OELUCYgOHKFAvCERnAvfS,0.62,0.869,-5.479,0.0462,0.615,0.0,0.131,0.597,126.019,216573
3QFInJAm9eyaho5vBzxInN,0.711,0.611,-5.453,0.33,0.00588,0.0,0.23,0.144,134.093,252262
69AIpwGNLxr4qS1X5ynx60,0.586,0.559,-6.725,0.05,0.639,0.0,0.0872,0.437,177.945,167480
65OVbaJR5O1RmwOQx0875b,0.578,0.449,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956
40iJIUlhi6renaREYGeIDS,0.666,0.465,-8.545,0.26,0.0503,0.0,0.215,0.292,167.937,291175
4h4QlmocP3IuwYEj2j14p8,0.768,0.714,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,163026
0uRrG2jRR5tuifsYIJHEao,0.403,0.537,-6.628,0.031,0.59,0.0,0.112,0.414,69.877,202133
5enxwA8aAbwZbf5qCHORXi,0.631,0.518,-8.771,0.0303,0.274,0.0,0.088,0.205,93.023,613027
0mKnuxVkPi5h0kuvZl44VM,0.549,0.44,-8.192,0.0264,0.232,7.37e-06,0.107,0.214,128.01,293707
7EkWXAI1wn8Ii883ecd9xr,0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062
3L1JHXiqNOJ57w3n2R3HyU,0.231,0.976,-27.426,0.0487,0.152,0.987,0.48,0.00672,96.552,131500
4obHzpwGrjoTuZh2DItEMZ,0.466,0.786,-5.13,0.0328,0.417,6.1e-05,0.125,0.571,203.903,210507
1Ov37jtRQ2YNAe8HzfczkL,0.583,0.67,-7.289,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433
4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,178147
18vXApRmJSgQ6wG2ll9AOg,0.789,0.536,-6.862,0.242,0.41,0.0,0.129,0.437,81.039,165926
075qcpR3BnxD5CWUIx1HTr,0.553,0.884,-5.306,0.0771,0.0921,0.00033,0.0463,0.248,110.074,185280
4S4QJfBGGrC8jRIjJHf1Ka,0.829,0.617,-8.497,0.14,0.227,0.00306,0.0618,0.81,125.605,98544
1D3z6HTiQsNmZxjl7F7eoG,0.597,0.587,-7.026,0.137,0.0622,0.0,0.214,0.0753,140.021,218802
4XvcHTUfIlWfyJTRG0aqlo,0.829,0.512,-5.865,0.187,0.492,0.0,0.12,0.638,80.511,123987
7BbaIYAdi3pg4MGl6PHwPv,0.693,0.575,-7.633,0.0906,0.121,0.0,0.104,0.353,138.016,160052
4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055,298899
50nfwKoDiSYg8zOCREWAm5,0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853
5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,229227
6I3mqTwhRpn34SLVafSH7G,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190
25VQoiuyc0HkC5FQTj1a8G,0.365,0.541,-7.489,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,232093
5AihIu9yF3flkw1jFMyfwW,0.4,0.647,-7.279,0.0337,0.176,5.79e-05,0.11,0.274,84.08,221520
6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,-7.222,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507
1qrpoAMXodY6895hGKoUpA,0.632,0.773,-4.856,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124
2ksyzVfU0WJoBpu8otr4pz,0.593,0.641,-12.727,0.0992,0.426,0.901,0.122,0.147,175.014,142839
6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627
5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,-10.497,0.0364,0.866,0.0,0.147,0.218,172.929,152667
3EG9FJ0ToLfgnc1IG2Z1wz,0.468,0.652,-4.912,0.0722,0.333,0.000318,0.55,0.39,140.223,588139
7nc7mlSdWYeFom84zZ8Wr8,0.672,0.717,-7.476,0.226,0.103,0.0,0.398,0.473,157.905,180380
1Is8hGpkGMiePASAxBluxM,0.701,0.782,-4.987,0.138,0.0918,2.31e-06,0.124,0.57,94.03,156040
1EJIcDYXwSqipW5dFe4uJz,0.477,0.727,-4.053,0.286,0.000866,0.0,0.108,0.227,150.062,236524
3CeCwYWvdfXbZLXFhBrbnf,0.626,0.79,-4.302,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,235767
0sTlGEld0h8kIPZaKDYUf4,0.309,0.883,-3.825,0.0808,0.0673,0.00111,0.0849,0.312,159.488,195121
22bPsP2jCgbLUvh82U0Z3M,0.402,0.732,-4.665,0.0484,0.0033,0.0,0.108,0.472,161.032,243137
5wANPM4fQCJwkGd4rN57mH,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013
0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,-6.05,0.0288,0.727,0.0,0.174,0.227,101.358,177720
77sMIMlNaSURUAXq5coCxE,0.569,0.741,-4.963,0.0282,0.0122,0.0,0.333,0.43,100.118,241592
5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806
4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,-4.865,0.0436,0.0513,0.0,0.106,0.46,160.087,224213
5B0kgjHULYJhAQkK5XsMoC,0.493,0.653,-5.666,0.0466,0.269,0.0,0.511,0.852,142.347,121573
3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747
3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041,210560
4qu63nuBpdn0qHUHuObEj1,0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983
0k4d5YPDr1r7FX77VdqWez,0.828,0.621,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173
3jHBgKdLCf46aP3HRI0WYv,0.68,0.696,-6.977,0.051,0.116,0.0,0.607,0.684,115.962,180743
