album_id,album_name,album_total_tracks,album_popularity
7nTvm6EgmFWPLMLxj6aksS,We Love You Tecca 2,20,74
3dwBW5p65buVtiTmr2a0Wl,Montania,1,59
5CigVuEyiAYaNYx2M2w4hh,The Ballad of Dood & Juanita,10,62
2M3IBMpOszCjnxwG1sWOqT,MERCEDES,1,61
0HZiTcB82OPdvbJ2Hny6bK,Narcissist,1,57
2TrwVayZ9oD42PkEI9Nk5Q,Overwhelmed (Ryan Mack Remix),1,69
6F6ZYE96lTFgzWotepEDhZ,Drunk (And I Don't Wanna Go Home),1,65
6s84u2TUpR3wdUv4NgKA2j,SOUR,11,93
622NFw5Yk0OReMJ2XWcXUh,INDUSTRY BABY (feat. Jack Harlow),1,75
6qf1Qjmib5fOTb18Ju6uA9,scared of everything,6,70
6QeosPQpJckkW0Obir5RT8,Chemtrails Over The Country Club,11,73
4WyhB7bn1Dy3w7GBWUAO1a,Famous Friends,14,64
1nAQbHeOWTfQzbOoFrvndW,Planet Her,14,89
3dgsCZMswt6TWbsKcMgoO2,Long Term Effects of SUFFERING,13,76
0qecSxB8NZ4ga9s9FqkboY,jams EP,10,64
5L5evi5tJPh8WaEFAQp7Tp,The Highlights,18,78
3HqmX8hGcbbQZODgayNEYx,family ties (with Kendrick Lamar),1,70
4O7Fn6jEB5xN1HXjMALCHp,Die For You,1,65
1UglarHubZKdQNBzRLF7dt,Greek Tragedy (Oliver Nelson TikTok Remix),2,60
021fiBoLY6KwQmgIvByEtG,Broadway Girls (feat. Morgan Wallen),1,66
2iTmTEm55PIjLdYjDCKh96,More Than A Woman (SG's Paradise Edit),1,63
1a7BlXLCqjTxQh6X8L9JBL,Heartland,9,64
1uD1kdwTWH1DZQZqGKz6rY,Jubilee,10,65
3Q8XfnyXY1KUqnfjkyGwWa,Sahara,1,72
5Gm2XKBgnlzd6qTi7LE1z2,Alone At Prom,11,84
3C4JU2iVIEI5F8B59b7upA,Nocturnal Cozy Rain,4,64
6kBuGNoOGE7uiPhN82dcJ1,Heartbreak Anthem (with David Guetta & Little Mix),1,70
45ba6QAtNrdv6Ke4MFOKk9,CALL ME IF YOU GET LOST,16,82
531c37GGv5IvddCvBv3sWT,Shivers,2,65
1SXdfBOoIPb094UtbsLjvP,Non Stop Rain,25,60
7l72jwIz37QsEP1RzSNG5O,TOXIC,1,68
5CS8E6JVACItYto4OOJoPW,KG0516,16,82
0b693AisoJYg4Ilj10LkYG,I Was / I Am,10,68
3p89sh1IV385sHS85PHe8w,Big Grim Reaper,17,66
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),26,89
3497MUjpGLcslVVb9ZeteM,New Truck,1,56
39qsmsNRXjVaFqTZj9af0j,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],1,73
4B143uGP1Wwhb5xO95nvaS,Pink Noise Sleep,2,63
6mSqysiE0NE7TbFosoJGTv,Avalon,2,64
0brMHlMYz5t58uT1Q4bkdF,Harmony House,11,66
3Us0eofAYq7tRuaH7A56i0,Don't Lose Hope,13,67
5cAd6WOG1zVNQ2KDCOLtuf,For Tonight,1,63
35qVMfUfBN6q2xzm9rZn5a,INSIDE,21,78
0SO86DCFiwaTqchBpujace,Real As It Gets (feat. EST Gee),1,60
44NnM38oAf0i0gWqkVVA1x,Twilight,1,69
1UtMaTZl4kau9NSFqc8wHp,"Del Barrio Hasta Aquí, Vol. 2",16,75
558tpdCejjVQNFAumRAeQj,NOEASY,14,79
5DMfgmlbRD0HeUi5QQgOAD,The D.O.A. Tape,8,75
6cZ39G1mahxDAGfoPzDllb,Eternal Blue,12,68
4qY3S2Iz6VpAa2EzhWkrpo,The Greatest Mistake of My Life,12,61
4pZal8ISuVy34AOkGGbiZ6,Laid Back,1,55
4lPqFAvgmG97pxyxQsyCQx,Still Over It,20,77
3hdw3AH6dkRpONWlJnotZn,Sometimes (Backwood),1,62
1yjrtwm2ru1qPGBPBUDE0x,"Time, Tequila & Therapy",13,66
32iAEBstCjauDhyKpGjTuq,=,14,87
2YSlIS6gM38w7ZJNj8F3s6,Sunshine,1,75
1jbRY71konakrKvDUiW7Rp,Give It To Me (Full Vocal Mix),1,77
6tdl27ojBwZ5ZexzZOP4mG,i walk this earth all by myself,1,62
4ssppGN0Qy4OeJTUDr1Etd,"Sincerely, Kentrell",23,73
2kzPJWrTjVKEYWWhowXLnz,Happier Than Ever (Edit),1,74
1DKgZeAYrjslAPZVMe6EFt,4 ONLY,10,72
3bqEvlGHE4amqPGZtdMnep,Not Your Muse (Deluxe),21,69
3zjKITMp5FHj5aqtWWXrxH,Todo De Ti,1,73
69p42ovQdwmYPLUsAQpeNn,if i could make it go quiet,11,75
0Q5XBpCYFgUWiG9DUWyAmJ,Scaled And Icy,11,74
4Xnlm5GHBeoAGA6SUHrDFr,Rain Sounds Vol. 3,3,64
0w1dwXfG5z6Xjjgj524JkD,Justice,16,70
5SKnXCvB4fcGSZu32o3LRY,Faces,25,73
4UP2s4n7nyzHPYpNh7qfH4,UNDERWATER,6,60
4Dn7V8EU84yPMe03MsefyU,Shiesty Season - Spring Deluxe,21,62
4uLn2Ci7bNaHSZ0tBHYlxt,In My Mind,1,63
4l58JlPq72gOA4veRxboVR,Summer's Over,7,66
3og8X1LYiVq3nPdMxpM9Wb,Human The Double Album,18,76
6kPeskyrkdkWT3xFYx9kvb,Cuidando El Territorio,1,65
4N8qhDeqx8AHoEhMnYEC2Y,Have Mercy,1,64
2wcv0lHk5fUYyNGKugGa7q,Better Days (NEIKED x Mae Muller x Polo G),1,72
6f2fSCVZvFScRgppc1MTVv,Still That Kid,13,62
5uQt9PVJIZvYjOL43EkOId,Coyote Cry,10,63
4zxSM7n57ny7FztFtjSj7n,I AM WOMAN,1,66
1FsFHXroF1ILBdVyBRMt3A,Miss The Rage (feat. Playboi Carti),1,67
4OyzQQJHEfKXRfyN4QyLR7,BodyPartz,2,65
2WmJ5wp5wKBlIJE6FDAIBJ,Life of a DON,16,73
2PIReru2w5i4JXOzeZnamd,SEVENTEEN 9th Mini Album 'Attacca',7,73
0mPKxIXNf7okZAFkCTMZlV,Am I sinking or Am I swimming?,5,64
2Zd7deeqEMClIaUCo19aIc,HUNNIDDOLLA,1,60
6CvBb1XqN0igtQrWrbXD80,The Voice of the Heroes,18,75
5lwUnuV4PJekfTcYIbkq6a,29: Written In Stone,15,67
