artist_id,artist_name,artist_popularity,artist_followers
5g8mXUQcC8DVAHLwGGAIrJ,Booka600,52,94175
4ejCEsiLoioHxdLmYNvIAY,Jacob Richmond,39,1082
4Js9eYwAf9rypNtV8pNSw9,Petey Pablo,59,505748
2IDLDx25HU1nQMKde4n61a,Rich Brian,69,2157153
2W6WP4pHQTFlbr2z9S4n54,Kordhell,78,707647
1pWm8RcyiWZehSnb38i4fM,Young Slo-Be,60,70832
2LRoIwlKmHjgvigdNGBHNo,Feid,92,5196586
3Vl9fyKMIdLMswk8ai3mm9,Rebecca Black,48,126653
7Fby9r2IyDqTZrXZv9Ob0L,Slug Christ,38,42
1pgDilWYDWLoOgGjf1iHNu,Zion,74,3673813
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,79,6936948
3Nrfpe0tUJi4K4DXYWgMUX,BTS,90,64752045
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,82,12223157
27R1aBy7FfkYevfYen4sMp,George Birge,43,12508
4mPrHfhtQUBoHgTxkBieLY,VickeeLo,39,21431
2pSObt5Fk8izuX8ZfI3jRn,Upchurch,70,1539498
2Dlvgi70UoJJicfKgoW5Vo,Grupo Recluta,67,799300
6BH1xcDkwbbyrLMUKECsW1,Toosii,72,1061717
3Tv1UzQAvn0v0hKTxisXnR,Kaito Shoma,59,93787
7vTyZmNA6LC0WRDg7V6yle,King Iso,57,87169
2e3LzbZx1VP4wBNFCaxZVD,TheHxliday,45,75391
1bqxdqvUtPWZri43cKHac8,MAX,69,811280
0Z8XVUAOBPM4x12wKnFHEQ,Parker McCollum,69,319773
2ExGrw6XpbtUAJHTLtUXUD,Stefflon Don,67,1125364
5OCZWZ399lBKgxBxE8cjRM,Willie Jones,49,38022
51XrH5fQP2oIQynuKxSWcW,Sky Rompiendo,65,55125
1TlELkGydPWokADoHCm4d5,Baby K,28,414
3IG49Dhngr903hQWOFzmlh,Big Homiie G,47,48554
19ic9bjrTrZ3vWol0u3sSz,Illest Uminati,19,6
5LGo1zHegJTWzqVXgeNplt,Ryan Mack,64,185097
4FlG0V0jhLO4qGpayFOphj,EST Gee,69,399973
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,73,2932222
7n2Ycct7Beij7Dj7meI4X0,TWICE,82,17544057
7BA072InWOjB1X7MZGOloy,Soldier Kidd,53,169148
3gGUMEwIX6XodWsYEvKSal,YBN Nahmir,64,2975131
4xE3NbWDeC7BEIlzQIjG5H,Nature Recordings,53,646
1z7b1Pr1rSlvWRzsW3HOrS,Russ,78,4819179
39xSFVoeHPX87DYQWe6z3y,Rain Inc,56,186
6Xiuj9T13YmHkjZ70VWerK,PTAF,40,341
7rybj6DFBE9HYjDsD4ILuA,A Dreaming Machine,54,204
3FCYSWNVmpjTCiwzJwbMAC,lil aaron,47,133422
1A8NEJYo3VW9aIZ6l55Dgu,Joey Cool,53,37320
4AVFqumd2ogHFlRbKIjp1t,Alesso,75,3940482
60JjUCBeLsuJ95WFvqFiFz,Dante Bowe,60,171181
5SXuuuRpukkTvsLuUknva1,Baby Keem,79,1472068
6bS1ddLkqrK5Jl6GyKK4j2,Og Bobby Billions,52,8928
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,80,6316281
371jpyGdoChzUASOIG2ECV,Ashley McBryde,59,212537
4rc8nzClXj7sUjvsHVg6AD,Naomi Raine,61,113333
4vhNDa5ycK0ST968ek7kRr,Carlos Vives,74,5939782
37M5pPGs6V1fchFJSgCguX,FINNEAS,68,1831468
1Tp7C6LzxZe9Mix6rn4zbI,Wilderado,55,92261
1RyvyyTE3xzB2ZywiAwp0i,Future,90,13850233
2ICR2m4hOBPhaYiZB3rnLW,Sonder,69,623711
3dnNuI5EU8TEdiAT73kj27,JessB,35,11806
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,89,20704363
2oX42qP5ineK3hrhBECLmj,Andy Grammer,70,1143840
4ET82ZtSfAK4utfjDauImD,Black Gryph0n,61,90095
4J13m9IZh03PEhoxAxRhXO,Gerardo Ortiz,74,7098592
7srh14kswDlgTIIK4SKdSf,Memo600,43,24362
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,69,2465481
4stSxe6AbpXw3x7nRDsYVX,Remmy Valenzuela,64,1570739
0jPnVIasXzBYjrlpO5irii,Ingrid Andress,63,128280
5OBK3iQwjNQqElPmn4TgAE,Natan & Shander,57,7603
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,72,2147227
3HFWqhd60hrJB8fpyjrTLu,Lloyd Vaan,49,4664
5J4lfhk7TjyGm6d3T0pqyV,OKENYO,20,3550
2eIB6vFotL2su94z3pUC1j,Elvie Shane,50,26519
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,76,2583431
7iK8PXO48WeuP03g8YR51W,Myke Towers,87,11207096
3fCQnw6VSudXBTN5d2QP2z,Gary Lightbody,54,8393
2oWN3OXJUk1mh7CAhkJeqX,Thunder In Paradise,49,127
4ntfGY98LWEncjHnw0XBaj,Dino BTW,28,7951
5szilpXHcwOqnyKLqGco5j,Faye Webster,64,444760
4axKuDPr6WKcDCyh8vueTY,Luar La L,69,295629
0gg11prPP6OqtUvBcKnPpq,Rylo Rodriguez,57,304371
49tQo2QULno7gxHutgccqF,LANY,73,5481483
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,78,4823031
3p3jPcp8b7WL9XYj4xlsWj,Snow Tha Product,63,592437
7tYKF4w9nC0nq9CsPZTHyP,SZA,91,12491195
4pfy05cNNTacuOQ6SiSu4v,Lyn Lapid,60,401306
10I1X1Vygp2J6R4jP5gF10,Chris Bandi,40,26900
2YXlVLKq3X3soXd2aXUtIT,JAMIE,52,684509
4lPU30QB53QTUVhkjcb0WS,EBK Young Joc,54,67522
57nPqD7z62gDdq37US9XJR,Arcane,71,155548
7lDVEkjIURPMyUYwoQRrpw,Ryan Hurd,58,233465
7pEVNuJRlpDXlsrcq32yHp,Atlus,63,103059
5bWUlnPx9OYKsLiUJrhCA1,Jon Z,70,5492213
46HzS7yz0c9udVwtbHk1sx,Cochise,68,524826
36CUTsdtNgCwMq6zKD1l8I,Mauro Castillo,59,33340
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,78,5061842
4SOtk3HtPYKqxnVuxNBMti,Donovan Woods,56,76874
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,70,3161484
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,87,28163078
3rWZHrfrsPBxVy692yAIxF,WILLOW,73,2303148
574ERIqzZ5yZU9JhIf3Ysf,Angie McMahon,49,99849
1xQIR56DxgWYZPUvOLRIua,Amindi,49,35598
0WK3H9OErSn5zKOkOV5egm,DDG,65,1007205
