album_id,album_name,album_tracks
7weU5IWFfeueNG5V68CTTT,Bring You Back,"['3Qw9krq5EC7VPaa6QmbcuH', '3Qe097eJNp9MfpT2PieEw0', '13dQb9ZXU7ehRoDLrjyTt0', '0lkte5wif8KIuWYYPw7yZo', '0drTByxQx8aMHzotZG3LDS', '1IpHQZF8eJ5mQos0F6ahkK', '3un2KQUaQ2brEpd8dK93wI', '1g1fFYQZvi07xJbeLw6Sbd', '5FVuERsYqtKKAaWe62NBnv', '7GUSroVy3kBqWXLLDT9qtI', '57HtzzBS9GmFzrpxTkfsWr', '59kqqjB6piujRyDdsrInRj', '2tvHuaaP49FtRApsDwQKpS']"
6FfydthOJNOSCM8BeSqKh3,Dinero,['3ggtU1ZOKO8ZNiqPNyXGcm']
58cd90Jkrovggh556JPN9L,Do It To It,['20on25jryn53hWghthWWW3']
7eed9MBclFPjjjvotfR2e9,Nothing Happens,"['5q6Ue2SuMhMBxFPDP2VWXm', '40WWDaK7arn7ilmufbHmdo', '3gar285uWggoxHwOwO7Ng9', '57RA3JGafJm5zRtKJiKPIm', '1pNUmVxDiE8t6P1XxcZAv8', '2XzAcJx3qBDnS1hD2vNwbh', '2cjgdu1MVfnVShIbLp3XvI', '7ndWF1H191Fx8Jq3xXncqy', '5naar7XewEOAjOywIp6Jjq', '7E9OnFFwTYDz6ZllgfbwOd', '5y3QjURtPq4V186jTPMA8Y']"
41kOXEHM7PivRjZj4WX2Dl,All Alone,['5V5BHmvpylV0nSc2Yu2Mu4']
4IGyRFgzpVUXtcFdhUGiLP,DIVE IN! (SPED UP! / SLOWED REVERB!),"['192DMwgDbgS8ghTKc0ACWq', '1I3DclkIlscxB8FjPpocCI', '0ZJ09tmBmKJlUTz8y7qDCV']"
0bVY8ZE63UQOyJQsjjidVn,Plain Jane REMIX (feat. Nicki Minaj),['2YzmfPLqUx5CJOaw5ThsBV']
5aSofcF0U90UxJaDr62r6X,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",['4yNoUQkYf1QF8iYlEzNynH']
26PYfCn1HopVAmLrPYjJ1O,These Days,['3Ozu8P9g9rZUDiKGG5ZUmx']
6WYHzLqNy9g3zNeqs9IwAA,Classic Man (feat. Roman GianArthur),['3G7XYAwtxtoGK7fAm4IlD9']
5dYCfDcz1KB5E9i2kgWXXr,Jungle,"['2ru82sMlycieEodGcKyszh', '34jGQpWzQAM9t3tY8HAaNu', '5TloYFwzd09yWy8xkRLVUu', '6qmxjovXGyzIxKHS41nalu', '3qfqrPLjWLbIHEc5ZCrKmN', '71SG2UUnm6rQNFrFEasxyi', '66kYZDvfPSQ13Xcz68x4qc', '1D3ETHOJhNwK4nDTMxfzmE', '5HdYTOgWAIAw5ubVCoK37S', '4mp5RUNTXOO20DWxVz1W2N', '2LjQyQu27GbfoXtVsehU2B', '37c5Zy0vJIGvtW03cDamUo']"
5ra51AaWF3iVebyhlZ1aqq,1999,"['2NDXdxZjbm5EbbEEDSKXQV', '3AM2ihc5RFzbC47eCpTg2I', '18Y3zi59zjRVUEjUhdApSX', '4pNT8XTKWb2vhcsqwzdXCT', '2PxwwqB4f9x72jbw6AgR1s', '3QbsrWxq3JyNov94VzbNdB', '1W4qc7UnAuRmT93W8Ad1t1', '2miKV8OiAhmZPjhCzgRnvw', '1rZvU5sb2E8LuJTAqEdAiw', '7fMG4HNSKzBFKthjmeW8LU', '3dkLUA4zs07CnhchRuRV6J', '24TUPoKOVqKT1hZHV63FUV', '7dFGkZbmm6cVlI28bfMaWE', '4rkfCWtPe63QU1HXsVTcpc', '046k0tkM8kI1D1UbmSsIsW']"
6M4VOF1ExBRii1x20Pk0GR,Savage Remix (feat. Beyoncé),['5v4GgrXPMghOnBBLmveLac']
12zL1YZJeADPb6hPdD9Mqm,Close Eyes (Slowed + Reverb),['5RE3w3M9g5vsotdIVtLONq']
2PCs0ZB8bHofV9khzpRmal,#miles,['1hboZZxKIEjLHRIkhx4Soi']
4wuYQ9hyF1EGmrtjMpgpE9,California,"['0oOOVSZGuPriWBqwbh0uuJ', '44TuSOP6xIAEeJmZsN3nXO', '6EE19skJ32p58xihYj2Waa', '1kVWn6BRzI9CwGz2vwmXlH', '3XNwHDhzksSGjQf2jBCsih', '1oBECT3z0l4yfVnUjzen8M', '5Uwm4pdpaaW3yari6ymMTT', '7fYOZjdpOv8dBtzPnXysOG', '6ndjTv3CjbsbefFfYk7UQk', '67xAnaQ4MxboDsl8kKRup0', '4GWOuX0NMBTLKyUb8aLHnL', '7I1kCwxYTKdhGmYxvB9uBB', '68jM3HGqCToav6bsNY2slc', '6MwPuDc52KxhkPvccmU5rE', '08aMpsxjozNNQPVnnE1QaC', '49gkxU2Vpse5FLfJ9sSJxf']"
1BubKJqf6Uc4fNae5kLJJ7,What Could Possibly Go Wrong,"['3Wgs96Z4TdCpnqFj2CxpsI', '7ACT6YaXbYvl7hRWEOOEHQ', '2FMO2IFR4cJSe5D4BlpDV8', '3xLU29XDzxUllbDjLumKf7', '6Q4Es6wVFh8W2qXrkQ7j1w', '1xLs8Mu1QEVbGCpyHQ2r2U', '4sYbZjRCyaFqCtJ2Uvfh8B', '3siyfhqP2BSRciLSbwGpzR', '0SRPuTnr5QOKRoIxMvvlgK', '20j7l6tFtc5lynXpbOQg1O', '4keHa1UN3c9OWHVv3BE5ra', '7oV1btBA4MYfN7GE7Xu9Sx', '5MSshyHGM9ajWSEoBcR0jv', '4N6jSDQb5PaR9d1IYM2aBz']"
