track_id,track_name,track_popularity,album_id
0tkgmjBMU6qSxolAKB3f2H,MERCEDES,69,2M3IBMpOszCjnxwG1sWOqT
4qqArAiTPueDxIp7cf87h7,Final Song,67,2gcqSlK5xTxcpuLZ1iik3Z
3lfQVVHkh8vFPi7LraIlMR,Plague,47,1NIfkZIYVAO6vnfmFOilHc
6E1YebXpPPtujMUljDNlOo,Kerosene,72,1NIfkZIYVAO6vnfmFOilHc
1gjF5BzRNNpY6OaRXF9L18,Wrath Of God,42,1NIfkZIYVAO6vnfmFOilHc
3AFpIlNR4DEJ1WC7qyOHU8,Affection,49,1NIfkZIYVAO6vnfmFOilHc
6AevYDd63Dt1A1IIbNwxfP,Pale Flesh,44,1NIfkZIYVAO6vnfmFOilHc
3VcPns62t2aE2nJuu4Iaj8,Sad Eyes,42,1NIfkZIYVAO6vnfmFOilHc
6zmGmMfP6FsHvKwEonQjFU,Insulin,39,1NIfkZIYVAO6vnfmFOilHc
26ZzSLUJMmYp5u1hDELEWH,Transgender,71,1NIfkZIYVAO6vnfmFOilHc
67cdrrKC32SfLTcYMPDfcK,Violent Youth,49,1NIfkZIYVAO6vnfmFOilHc
6xgqL1OGWgeWkVDmUDv3fR,Telepath,47,1NIfkZIYVAO6vnfmFOilHc
2VCYocQNzewllGaFs8BJSi,Mercenary,38,1NIfkZIYVAO6vnfmFOilHc
2rG0suHy1HWApXi9NZhw5o,Child I Will Hurt You,40,1NIfkZIYVAO6vnfmFOilHc
2fCdOF4nBAeQaXW84WjoiU,Geyser,59,42cH7mrkfljkqkxA2Ip9Xq
2nifujUVU1XyhTSHI2kQ8g,Why Didn't You Stop Me?,68,42cH7mrkfljkqkxA2Ip9Xq
6zg1bV9ESNLTmtB0Os3FA4,Old Friend,61,42cH7mrkfljkqkxA2Ip9Xq
7fd3aMiuwHWKsTdZafjOfZ,A Pearl,75,42cH7mrkfljkqkxA2Ip9Xq
3bjPPTMGBp8e36BYJaXDO2,Lonesome Love,57,42cH7mrkfljkqkxA2Ip9Xq
6QqUgSjdtWhqsEdz72XhCD,Remember My Name,60,42cH7mrkfljkqkxA2Ip9Xq
3pANfZVFdtuVnJsE6xa5Ox,Me and My Husband,77,42cH7mrkfljkqkxA2Ip9Xq
6DkFiavp15l8YTHQXuFuEZ,Come into the Water,56,42cH7mrkfljkqkxA2Ip9Xq
2P5yIMu2DNeMXTyOANKS6k,Nobody,78,42cH7mrkfljkqkxA2Ip9Xq
51vArgRF64yIWk3JIcRITo,Pink in the Night,66,42cH7mrkfljkqkxA2Ip9Xq
3Eu47MEKQ27HOIonzTgB0e,A Horse Named Cold Air,51,42cH7mrkfljkqkxA2Ip9Xq
3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,83,42cH7mrkfljkqkxA2Ip9Xq
47tkc0WVv9y0ZwPVh93g9Q,Blue Light,54,42cH7mrkfljkqkxA2Ip9Xq
0pM91oR6zMZcepPBklxO8Q,Two Slow Dancers,63,42cH7mrkfljkqkxA2Ip9Xq
4tVphly4D1PB8tJC9gHMcJ,10/10,59,5CNckxfLf4TCoMOoxgAU8l
3SxSrUogj4LpAkLKXeTtTQ,Always,62,5CNckxfLf4TCoMOoxgAU8l
