track_id,track_name,track_popularity,album_id
2dGeWsJZ8C5aQ4hc1ll6uG,Egg Gate,4,7z7V2Hstyx0eb17Ae3SFbE
3DiyKYr0IwqtYaB1GqSLf0,Liara’s Theme,37,66sr7PormZVzPV34pZGCkC
74RXECEEdc945gowRY4ebj,Pokémon®,45,2KHrrZCAkI8HOIJpOqLzET
1mxTX8GuW3ziZp6REmUDZ3,Beneath the Mask,38,6TFyQGxjhNYJVFIIrLEXx0
740OUm5QttW7gBCtWKLpiw,Fierce Battle,18,4yBuv3i2RiAjvYP0IcDagC
3GPVWPA7FGwt9Zg7QVDKGl,"Cynthia: Champion Cynthia (From ""Pokémon Diamond and Pearl"") / Battle! Champion (From ""Pokémon Diamond and Pearl"")",0,4e26CpKiIiCiiyfabKf1Gl
6GLo4fBIA9pDzCQWhggcK3,An Ending,0,5igTFdgbS1jxBpBufbcQA6
6IOIUliwwCQlIrb2LEmnKR,Fahrenheit Forge,11,0OKyZzH4nCkGIcVZoLwIcU
335avZfTokn2HZ2pDlu6uy,"Russia, 1942",0,3u0nvPWbvjq4aGNDfqH6IS
3J86RRNATHA6dlL9mctyi4,The Way It Was,43,2GFFxj8aR2XpwIMYanOPjh
07B8uvXfEAiFlH4kc9PqGF,Fi's Theme,0,1QSjEwlGIehZWxeSDpGA7c
3qBAaoahAIR8cMaE0GAyGi,Pentagon,0,1wNRiDESMvDAKJN1302arj
6mJj3O9dPZn3RHajZXeXtD,Serpent Riders,27,3v4wi26lipHgwdcXXBuPFC
1klZVJMYUNjHMwu6oo79dq,Super Metroid (Ending Theme),0,0cvTRmxtP074pPRhndF2RC
5qiS0uWgrWMRGvwAS93mpx,Hubris (feat. Deryn Cullen),47,70vCb4ZDhH3SuRjIrngCF4
0vBJTxm0kHfhrRduxo0X28,Descent - Aftermath,0,4urH1SAMvCK7bWyqqyq6NL
7BFxHXaU4aG9XGR7gRZai9,Eagle Claw - Part 1,0,2ZB4aNlAcAK8pOpe11o7WR
1IS0HlbV7edYHVDt8izutb,Autumn Voyage,0,1qIRsav8WGOCV7cXh7VDS2
0GpBlaYJE49yM3EXHhOlCt,Super Castlevania IV (The Theme of Simon),0,0cvTRmxtP074pPRhndF2RC
08PdiMKUGNBO4yWO3fas6B,8 Bit - 8 Pints,5,2rSEWwyaXnwxysgjoKqQ52
6qyssDfTXk2rr7cJglntdE,The Snoozemeister's Lullaby,0,4OP5b843d6mYxtdrQIUV4V
5cgrZMEW8uT2tYV6sca0tz,Metal Frenzy,0,0jcNyEDXKVFqUm7HuaxLLi
749VbfUjhPZszi8IizPlVr,Fighting,0,77lMSxzV4xTlTixNg0JT4q
0sdrnr6cc00MZp0K9pfRCh,Heroes Aboard,0,0Wl1PDOlgBBVixc95VXIXj
5I1DnaKhui6DurwpeJMYcv,Oppressed People,0,77lMSxzV4xTlTixNg0JT4q
6GZcejpZmbrAuv7UcXeLIY,The End (Reprise),0,6tjs8zghiHaGBCVLbBqchh
7cbBZqBwEzlKBIYPb1Cbf0,Zanarkand (FINAL Fantasy X),0,0EZu1jyeMC9VDLuYwlXFZY
5oY2stk9veBADP09GRKmMi,A Welcome Respite,0,77SNbZAxHWjlgVFtyS4rcu
