track_id,track_name,track_popularity,album_id
2HbKqm4o0w5wEeEFXm2sD4,Money Trees,84,6PBZN8cbwkqm1ERj2BGXJ1
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,84,2B4y3j02ho6XNF8BEzx3JF
3GZD6HmiNUhxXYf8Gch723,Lost,86,392p3shh2jkxUxY2VHvlH8
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,89,58ufpQsJ1DS5kq4hhzQDiI
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,88,58ufpQsJ1DS5kq4hhzQDiI
2iUmqdfGZcHIhS3b9E9EWq,Everybody Talks,81,0uRFz92JmjwDbZbB7hEBIr
6FE2iI43OZnszFLuLtvvmg,Classic,83,5IenxFp0vpnXBUxPcwJtbE
6jgkEbmQ2F2onEqsEhiliL,My Kind of Woman,82,2XgBQwGRxr4P7cHLDYiqrO
1IT0WQk5J8NsaeII8ktdlZ,King For A Day,80,661Hz0qJK8WIp7vAWsqKvk
7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,80,392p3shh2jkxUxY2VHvlH8
3LlAyCYU26dvFZBDUIMb7a,Demons,76,6htgf3qv7vGcsdxLCDxKp8
0W4Kpfp1w2xkY3PrV714B7,Ho Hey,78,6NWYmlHxAME5KXtxrTlUxW
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,86,6cunQQ7YZisYOoiFu2ywIq
3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),84,2F7tejLHzTqFq2XLol9ZGy
42zd6DYQ4o4SECmTITrM1U,Dreams and Nightmares,77,0zhZDmHEtDtok393SbZ3d7
6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),80,2XPrwlaAHHXnJzP9tBcIzH
3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,75,29blfJv8AddJrjuG3DpE13
4QhWbupniDd44EDtnh2bFJ,Pyramids,78,392p3shh2jkxUxY2VHvlH8
7a86XRg84qjasly9f6bPSD,We Are Young (feat. Janelle Monáe),76,7iycyHwOW2plljYIK6I1Zo
0i5el041vd6nxrGEU8QRxy,Cruise,75,5MH765pytbQasmDxXArTah
3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,75,6k3vC8nep1BfqAIJ81L6OL
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,83,7w19PFbxAjwZ7UVNp9z0uT
1KxwZYyzWNyZSRyErj2ojT,Let Her Go,77,52ukyDfkPmF4X6EcSYVfVJ
2P3SLxeQHPqh8qKB6gtJY2,Poetic Justice,74,3DGQ1iZ9XKUQxAUWjfC34w
4Pwjz3DfvfQWV0rO2V8jyh,"Bitch, Don’t Kill My Vibe",74,6PBZN8cbwkqm1ERj2BGXJ1
1Ist6PR2BZR3n2z2Y5R6S1,Summertime Sadness,77,0Dt3FbpMQwjoT5KNAw0IXR
4G8gkOterJn0Ywt6uhqbhp,Radioactive,74,6htgf3qv7vGcsdxLCDxKp8
3DZQ6mzUkAdHqZWzqxBKIK,Loveeeeeee Song,74,4eddbruVtOqw8khwxSH6H2
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),83,76FXHQhTuT4QMIxfL09gX8
1z9kQ14XBSN0r2v6fx4IdG,Diamonds,75,0T23GvNaBUGtMKxZko8LQG
7EQGXaVSyEDsCWKmUcfpLk,Die Young,80,5ZQB1ZQ2Yx9YT3nZlR2Pgu
2ihCaVdNZmnHZWt0fvAM7B,Little Talks,82,4p9dVvZDaZliSjTCbFRhJy
789CxjEOtO76BVD1A9yJQH,Stay,74,0T23GvNaBUGtMKxZko8LQG
0725YWm6Z0TpZ6wrNk64Eb,Super Rich Kids,76,392p3shh2jkxUxY2VHvlH8
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),85,5QWHes9ODwn42DHTifGkXd
55h7vJchibLdUkxdlX3fK7,Treasure,82,58ufpQsJ1DS5kq4hhzQDiI
76VtA90NKurNqaQpV126Ue,Pour It Up,73,4eddbruVtOqw8khwxSH6H2
3Hvg5tRKsQlX25wYwgMF9p,Flowers in Your Hair,73,6NWYmlHxAME5KXtxrTlUxW
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),83,2Q9oTK48eb85waX1fFJsvj
3HlK8txWAdtKMrbsqX40pl,Freaking Out the Neighborhood,77,2XgBQwGRxr4P7cHLDYiqrO
5ujh1I7NZH5agbwf7Hp8Hc,Swimming Pools (Drank) - Extended Version,72,3DGQ1iZ9XKUQxAUWjfC34w
54MXF9I8s3DuiQo3g0gZ5k,A Match Into Water,75,661Hz0qJK8WIp7vAWsqKvk
4p9iQNEmsIGkB6eG8Val8n,Mary,72,1i8WVUZhMVNurF8rmlMeSH
1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),80,7eLwoxxWs6lfkVYJGkGNbk
1u7J5sEfgOVRt5bkfU2oGV,Keep The Wolves Away,73,2nNgwgaNPoxJGT2nchbPrj
0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),80,2F7tejLHzTqFq2XLol9ZGy
3cjvqsvvU80g7WJPMVh8iq,Genesis,71,3HED2IUaNSnbOe88a7ZdwM
60wwxj6Dd9NJlirf84wr2c,Clarity,77,7juWTdmjo0vYywWu8HiQxs
4FEr6dIdH6EqLKR0jB560J,Rosemary,75,4PIVdqvL1Rc7T7Vfsr8n8Q
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,83,3RKhRsifs4RWrqvWV1YpPY
4P0osvTXoSYZZC2n8IFH3c,Payphone,73,2pjfMmH52fryXVQuWTWOgP
0KAiuUOrLTIkzkpfpn9jb9,Drive By,80,5zseibu9WEsPaZmkJUMkz1
1h6kgem1ai8vUgO1rZOwfB,I Don't Like,75,2B4y3j02ho6XNF8BEzx3JF
1fOkmYW3ZFkkjIdOZSf596,Pink Matter,75,392p3shh2jkxUxY2VHvlH8
3ekNuTF3UpOvIZCfiejpnC,Stubborn Love,72,6NWYmlHxAME5KXtxrTlUxW
1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame (feat. will.i.am),70,63eaHsLLsW1e5ISNf7ISZy
4XNrMwGx1SqP01sqkGTDmo,One More Night,73,2pjfMmH52fryXVQuWTWOgP
1fXiYSWmkKJfRKMegCkI11,I Will Wait,71,3FfuUD3Je9t9tQq80Zq41y
