track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4QX9ua1QVyhfAWy73TtrlH,0.103,0.187,-17.927,0.0403,0.903,0.853,0.111,0.039,171.157,110942
7rtxlP1iijQrZeUASrioeg,0.162,0.0945,-24.325,0.039,0.971,0.935,0.0887,0.0377,131.547,259370
2Fef1KP0yLaVtzUIE1P0kE,0.465,0.338,-19.447,0.0363,0.943,0.793,0.11,0.233,70.092,69486
1NhDv99nTtRm37rZpoH7Ix,0.127,0.0632,-21.617,0.0383,0.934,0.855,0.0853,0.056,84.176,171442
57TXUMmaFPIjBndvkskfz6,0.11,0.227,-30.635,0.0744,0.366,0.936,0.125,0.0388,76.528,102191
77dmvB30VrxEJOaNduzPhB,0.168,0.107,-21.325,0.037,0.894,0.897,0.107,0.0391,136.265,244584
6VrX52VugtvrrMdSsexmQa,0.341,0.297,-21.278,0.0405,0.943,0.871,0.0991,0.301,74.985,75807
1LDwHy3QSjUYNwvJj4QYGX,0.0854,0.175,-19.623,0.0354,0.905,0.848,0.0822,0.0652,82.974,210024
7MWYv1m0d023BdbLyG6NQE,0.357,0.0364,-26.283,0.0344,0.976,0.885,0.106,0.0387,109.888,145502
4sOH2sTByoYytmt7Cq43Vl,0.235,0.237,-27.605,0.1,0.139,0.901,0.0873,0.0338,67.906,152007
413nwu2q5SEHtiHFXRkhgZ,0.341,0.19,-23.789,0.0326,0.92,0.977,0.102,0.119,87.899,128131
5W6KeokNeUXozE9asPqqT3,0.235,0.166,-17.467,0.0394,0.937,0.889,0.108,0.0372,81.837,125153
4gscks7wiv5gpApcDX2GRi,0.0725,0.165,-20.544,0.043,0.89,0.938,0.2,0.0376,76.381,148428
59HCr7pKisaiDOJPRNHSWg,0.219,0.341,-23.339,0.0422,0.917,0.922,0.127,0.149,68.02,81032
2Ue1TGY4X4KR0hcUTjMcBu,0.378,0.193,-24.002,0.0284,0.952,0.923,0.117,0.546,152.716,74423
4Qf4sunHJJz4581avJ07kX,0.0674,0.0267,-25.469,0.0388,0.956,0.947,0.11,0.0344,71.49,281548
2jTRtDqiD4x7DzbkzoIn1H,0.15,0.0726,-28.699,0.0524,0.978,0.889,0.111,0.0261,78.344,64758
1bXoENBZuBkZniaPhRVgNp,0.0844,0.075,-22.065,0.0404,0.96,0.83,0.101,0.0392,74.743,185234
5pOCgByIlCMqP0XrIpkhWB,0.383,0.524,-19.854,0.088,0.884,0.641,0.1,0.0383,74.737,61727
4rZkp2CFdw0MJLsVoRMzi3,0.226,0.331,-22.96,0.0471,0.838,0.813,0.0903,0.0286,62.532,65776
5F6mNTPxGqCZMbRhs3mfRq,0.502,0.129,-23.827,0.0408,0.936,0.824,0.173,0.239,119.969,66900
7vwiMFaufkvfOsNSUNgolL,0.065,0.0657,-23.263,0.0394,0.919,0.966,0.0666,0.133,64.939,176431
4YjWvWLzN7JY0fh9ZInVYU,0.482,0.447,-20.274,0.0371,0.911,0.908,0.109,0.0382,83.957,68362
7GNfZiDtBLXGEjMLDB5ZbQ,0.156,0.229,-28.617,0.0426,0.908,0.865,0.0884,0.0396,103.848,70635
08WIegvJBw5UEYP0SQ3AXR,0.145,0.112,-22.686,0.0414,0.849,0.93,0.0949,0.0339,102.691,130769
23TNh3BD3SZXnCwLjCOJzq,0.436,0.274,-10.971,0.0419,0.964,0.917,0.089,0.549,95.063,117165
7pazKlFE1WebgUNoPVuWwx,0.491,0.374,-13.702,0.0324,0.915,0.668,0.312,0.713,90.103,102992
2SL00Ua6Ge1SFEr7DNvbBr,0.588,0.611,-9.532,0.0285,0.792,0.939,0.234,0.826,150.017,85039
7nI4ORcstBqFuihS6UxMjC,0.595,0.307,-10.065,0.0304,0.953,0.526,0.225,0.467,122.943,102992
3cenGgy7VaZCqgO6SNA8Sy,0.534,0.469,-12.132,0.0341,0.918,0.673,0.311,0.567,134.504,117165
6ajwXkuep5Qv68j92rJ2UV,0.471,0.0826,-20.361,0.0394,0.962,0.664,0.0745,0.0762,94.569,86929
0vofVg5CrST0yfKd2zLUW6,0.545,0.413,-12.092,0.0425,0.689,0.873,0.12,0.116,114.351,145512
3Y3JQlI7UGQ35skMsAYTA7,0.725,0.324,-12.68,0.0298,0.902,0.334,0.0754,0.832,111.971,110905
5j687s7cAMeRaSq5dF6uZr,0.508,0.257,-13.444,0.0302,0.987,0.821,0.149,0.326,94.547,126850
1XemrXOVT2CYzUHfpSWNgf,0.37,0.158,-13.729,0.032,0.984,0.891,0.0991,0.409,126.965,142559
26O65f9NUXSU7FxobPeTyz,0.284,0.305,-14.323,0.0355,0.657,0.926,0.0834,0.0305,96.808,131560
5xlloEeDjyGCkSzfziqciJ,0.145,0.233,-19.179,0.0535,0.901,0.981,0.111,0.0706,74.129,180520
74tn7f3USGRe9x1NxKZJtu,0.176,0.116,-20.801,0.0376,0.449,0.843,0.0775,0.0367,132.979,83987
6tB8U7lbrxppBIWcdbgxs2,0.33,0.184,-18.827,0.029,0.653,0.883,0.107,0.0393,93.924,203387
5hmQi1tDz0lY9s4iEVbi7e,0.126,0.0578,-26.357,0.0339,0.128,0.929,0.167,0.0343,86.86,181400
1NbD72v7wOOAxXZqc4b25J,0.54,0.584,-10.916,0.0573,0.00149,0.0682,0.4,0.305,159.949,56613
4cABZ8Bd83FGpfj3TbLTyK,0.0995,0.126,-27.977,0.0473,0.401,0.859,0.46,0.0357,77.529,89347
49Tnk6qNbgK46hn0ZLl1Z2,0.499,0.174,-22.196,0.0373,0.309,0.867,0.13,0.0368,124.03,219013
5USlJZRztqowg63oxmpdsu,0.252,0.109,-21.114,0.0395,0.236,0.851,0.119,0.0323,58.121,140667
1ZKk5lzW6RCGbIaBzKVlvG,0.265,0.16,-22.646,0.0702,0.226,0.814,0.102,0.0338,79.279,175040
3TLtwnZlpq8tGvq7wHFIac,0.261,0.197,-17.829,0.0342,0.571,0.923,0.113,0.0889,144.051,179893
0430g2lb6PTJR2cIwCuhon,0.515,0.714,-11.196,0.0552,0.0373,0.971,0.739,0.545,154.86,73160
2lvVWStyvxtUKHwNpsoZv1,0.36,0.43,-12.872,0.0495,0.863,0.729,0.149,0.2,124.556,29907
2mbnQKFiEdQd0O1c7e7CLc,0.0755,0.235,-15.663,0.0339,0.809,0.897,0.0938,0.0379,78.465,186667
3rCXLs4PAElamfrwxohdQI,0.403,0.773,-9.734,0.0749,0.558,0.953,0.637,0.175,135.15,44440
1ihkltrTdxvkj34NL3wQLn,0.339,0.374,-12.258,0.0385,0.807,0.806,0.491,0.14,85.108,91200
5RxUnmG7SxJ6j0NL3uHcAv,0.365,0.223,-24.565,0.036,0.887,0.913,0.0889,0.0681,170.071,175840
6QsmAgHdV1WL6wmUTXAKQs,0.22,0.152,-15.467,0.0383,0.711,0.894,0.221,0.105,111.374,74347
0E0Fx3r2ZszKD3LSCgInub,0.545,0.579,-12.45,0.0356,0.042,0.927,0.198,0.48,150.027,91053
0EkPoPPUhNdizR5I4AZwpv,0.498,0.291,-16.242,0.0339,0.666,0.895,0.118,0.0658,119.972,178413
6jU3nCT3xE1BrqenA0Uwpb,0.393,0.292,-18.462,0.0344,0.458,0.813,0.243,0.106,89.914,202240
2wEVAUWU1iI69TVb3nCwYG,0.209,0.0971,-21.342,0.0418,0.972,0.968,0.117,0.0307,85.934,64080
0bF1wXpfrGO3jGLepmabUq,0.466,0.425,-9.976,0.0345,0.878,0.476,0.17,0.492,100.046,95453
3e1vWyQcrfTWytTxkGaaSg,0.198,0.0928,-25.621,0.0371,0.791,0.921,0.0991,0.0297,78.431,88347
6MYXRyUEJuqrk50dIymp71,0.489,0.435,-14.834,0.0403,0.393,0.935,0.0824,0.0532,84.947,199520
4kjJoczRuAeKzNYkQ7TKsK,0.388,0.503,-11.301,0.0288,0.809,0.967,0.107,0.242,92.105,151708
