album_track,track_name,album_id,album_name,RPG,공포,로그라이크,배틀로얄,생존,스토리,스포츠,슈팅,시뮬레이션,액션,어드벤쳐,잠입,전략,퍼즐,플랫포머,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
1566sa7tQN3XaET8oWpHB7,Time to Wake Up,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.525,0.708,-6.336,0.0409,0.00859,0.816,0.107,0.281,126.02,68868,52
6MLptqfOLeV8uwAqwXaZ1v,6.24,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.66,0.984,-3.282,0.143,0.0118,0.696,0.078,0.35,132.062,261818,48
1n4eXR1NWPasD4eTUzu5ke,Enraged,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.172,0.872,-7.128,0.0394,0.00132,0.917,0.334,0.0567,121.987,297540,38
0bqn14mmcTK896brFLLprf,A Picture in Motion,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.635,0.574,-7.821,0.0276,0.241,0.906,0.0935,0.556,180.064,202559,40
3sPjbQIcFsrH4TlLWZbKo3,Wisdom of Rage,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.372,0.927,-4.79,0.0667,0.0192,0.76,0.303,0.744,118.781,306366,41
7o837RnwjtiJQ0X2JFzWxC,Unraveled,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.672,0.343,-13.619,0.0427,0.342,0.944,0.13,0.0384,110.02,285869,32
0FtHZFjPoDL6kQGNi4JUOq,Set Me Free,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.365,0.671,-7.691,0.0504,0.0623,0.646,0.319,0.0785,90.023,367339,33
5JPwe4PjY5QkfviqTYZgg7,What We Fight For,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.27,0.721,-8.968,0.0407,0.00161,0.865,0.0972,0.0371,129.991,404154,38
7mSmt2yar5VUXZNBV4AnpE,Make This Right,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.674,0.774,-8.309,0.0366,0.00586,0.107,0.106,0.101,102.005,348235,52
0pmsfKxP4NB8rituJb7HxT,Make This Right (Remix),2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.736,0.468,-8.447,0.0449,0.0025,0.742,0.167,0.0601,102.002,201324,36
