album_id,album_name,album_tracks
7cTbjqfofNfUq5eIlicTXk,The Elder Scrolls IV: Oblivion: Original Game Soundtrack,"['4QX9ua1QVyhfAWy73TtrlH', '7rtxlP1iijQrZeUASrioeg', '2Fef1KP0yLaVtzUIE1P0kE', '1NhDv99nTtRm37rZpoH7Ix', '57TXUMmaFPIjBndvkskfz6', '77dmvB30VrxEJOaNduzPhB', '6VrX52VugtvrrMdSsexmQa', '1LDwHy3QSjUYNwvJj4QYGX', '7MWYv1m0d023BdbLyG6NQE', '4sOH2sTByoYytmt7Cq43Vl', '413nwu2q5SEHtiHFXRkhgZ', '5W6KeokNeUXozE9asPqqT3', '4gscks7wiv5gpApcDX2GRi', '59HCr7pKisaiDOJPRNHSWg', '2Ue1TGY4X4KR0hcUTjMcBu', '4Qf4sunHJJz4581avJ07kX', '2jTRtDqiD4x7DzbkzoIn1H', '1bXoENBZuBkZniaPhRVgNp', '5pOCgByIlCMqP0XrIpkhWB', '4rZkp2CFdw0MJLsVoRMzi3', '5F6mNTPxGqCZMbRhs3mfRq', '7vwiMFaufkvfOsNSUNgolL', '4YjWvWLzN7JY0fh9ZInVYU', '7GNfZiDtBLXGEjMLDB5ZbQ', '08WIegvJBw5UEYP0SQ3AXR']"
002kQbJnuiCUZhbgEiG5ko,Super Mario: The Classics (Orchestrated),"['23TNh3BD3SZXnCwLjCOJzq', '7pazKlFE1WebgUNoPVuWwx', '2SL00Ua6Ge1SFEr7DNvbBr', '7nI4ORcstBqFuihS6UxMjC', '3cenGgy7VaZCqgO6SNA8Sy', '6ajwXkuep5Qv68j92rJ2UV', '0vofVg5CrST0yfKd2zLUW6', '3Y3JQlI7UGQ35skMsAYTA7', '5j687s7cAMeRaSq5dF6uZr', '1XemrXOVT2CYzUHfpSWNgf']"
6SBNiejyh67pYM1wJxqrM1,Halo Wars (Original Soundtrack),"['26O65f9NUXSU7FxobPeTyz', '5xlloEeDjyGCkSzfziqciJ', '74tn7f3USGRe9x1NxKZJtu', '6tB8U7lbrxppBIWcdbgxs2', '5hmQi1tDz0lY9s4iEVbi7e', '1NbD72v7wOOAxXZqc4b25J', '4cABZ8Bd83FGpfj3TbLTyK', '49Tnk6qNbgK46hn0ZLl1Z2', '5USlJZRztqowg63oxmpdsu', '1ZKk5lzW6RCGbIaBzKVlvG', '3TLtwnZlpq8tGvq7wHFIac', '0430g2lb6PTJR2cIwCuhon', '2lvVWStyvxtUKHwNpsoZv1', '2mbnQKFiEdQd0O1c7e7CLc', '3rCXLs4PAElamfrwxohdQI', '1ihkltrTdxvkj34NL3wQLn', '5RxUnmG7SxJ6j0NL3uHcAv', '6QsmAgHdV1WL6wmUTXAKQs', '0E0Fx3r2ZszKD3LSCgInub', '0EkPoPPUhNdizR5I4AZwpv', '6jU3nCT3xE1BrqenA0Uwpb', '2wEVAUWU1iI69TVb3nCwYG', '0bF1wXpfrGO3jGLepmabUq', '3e1vWyQcrfTWytTxkGaaSg', '6MYXRyUEJuqrk50dIymp71']"
3hNLjKxhFmzR2V0XloauhA,Prince of Persia: The Forgotten Sands (Original Game Soundtrack),"['4kjJoczRuAeKzNYkQ7TKsK', '40jsodAJE2oKW6myr8uj8p', '2TPkyIV9rRa782EMrrDm5d', '3DPoUFZaD9o0Qx9bk9fWp7', '1sKHngxLeDIEUa8ZzyMGna', '5nZOBfQstFGedwwAdvpIwk', '77tjbljXO4gn1LFHvqNime', '6QgU0oqLLGAc4PNHiOaPg7', '2wak5ykKHnCol4TlNIphWT', '5DfM4q5R1fuKYRqDtob012', '55y9r3iMx4sLUohFrbvN8M', '2OzHKOI5pIbE0b0am9p1yY', '3gMtkr2vo2lkzCnfXI0Ouo', '3NaAbWeckIC9sOkuxgVVVy', '6gfsuc9yufqpaWtZJ6nahk', '299v4OcI8CpridfJ51zcOg', '1QUcdmpNF6W7XdEcAXYYo4', '2VtbrNU2ozhHTJ47k0QCg9', '0QSZB4rDY8wHN7JvGAk8s4', '35xiWCw8FDUwHkmEgLR9xq', '59340REE5ngN7lvAFVzHKf', '1t8SvuVEoS4FCZytgvLQ7w', '1Ec8MBE1NaVLy7myemu0NP', '6wcSIJjsKtmvQkfn3jYW2e', '3Lp90v6D5Kj62MF45P9nHv']"
18k5xTVApFzfHQQUZ1RmLS,NiGHTS: Journey of Dreams Original Soundtrack (Vol.2),"['2LVbkywY69V9Co3WDZqmHj', '0Ul5f0XVQuqopN8Tr7qdo3', '0gGRq5NxtvIh9qhxoUpMMi', '3AkPMBiQVFrb8lCSwyCfml', '62dH2gIh4dJ8edmPJUGXym', '2EROCcB0z4EQkLYF9DoWDb', '3kEfvrJ0s7KOhK5cNs7UT5', '6TgsKTvpYcZrTqiw8wQnm1', '7MebVxYUympMX5wAOhorjv', '2mg4PI9X5KzspMJIMf8PgL', '7uD8Aizb7wAG0aYkYaY5AR', '7mlCPh5U8styv5n5fdiHtH', '3stnO3zUo28ZtKN2IItiVv', '6wFGDkY4jwqfZi3s2mEXoh', '0Xt3RL4Xa1hljHSFM3WqDh', '3VL3Gu3h1dQ6yt7jpBM2o3', '4p2lXcKMzCfRrM0vQbkMUV', '6GEFlzR6nEnv241o7tlt4P', '0gpYXbUcKn6KqY4Fx9I9VR', '6VdvqsLnuG9bRHKE0yNzDD', '4iVe4QKLux1XaBd0SnXNSe', '1b79oeYggYEOf989JI2lnj', '7EI7D2UjEJnP1O9ujQl1wk', '4hKnspyskv4mg1ucGoi3Ou', '4MWP1U1fIzjJzPHY9wLGEa', '4ihya5mOCdI6C350sP3pvk']"
410TlCyf5WcKAwzW1NUqSW,A Game of Dwarves,"['1mUZsSGKrUwX8XdwrU2lF6', '69pXBySDoY73X1mC6mMsfF', '6tbpFQu1ym8WJvEuiuP8Nj', '7MFE1YFDt5hS0NhPQ5b5xP', '4t57sUuF3XqG59Uin73VjW', '4e6OQ8yZKIoHWE8hMhh7lR', '4eaWJB8I7YD8Eniio2sne5', '74UmCX6GOFjGcmjvKTqLvB', '2uygAZ6LzBzRKcA0IRBCP3', '39oLq1MYPy24QEObAxcixa', '3ryiF5dde7stXjtaiLjdvs', '5TJ85kUCeo1awc0AcSNR5d', '2ciRi4jTg4UadOKdTn0Pwc', '2JLvH6h3pAT6VJ35TXD1Yd', '4feWeMSYYXJwpx0do1oyHU', '2DTNijhN64L8TpxahFZPir', '1gvX8mUhphviWUHZ0TSxwT']"
0o8eTz3nX1F9D8QzmbFZCv,Legends Never Die (feat. Against The Current),['04pjfS3YIK6gXjxi1zHeZa']
76Sa34PcsBjp52vsjOd0Tz,Assassin's Creed 4: Black Flag (Original Game Soundtrack),"['6enLk2V2s0M6D6PGLjHxYv', '09GsnPL0m4AzzvWqclt9R7', '3fMtbatIC3Gl9rfZ1Y6trw', '0QI1IQbCigfH2kkSdNfvpO', '2PkHdCRTfVmFz1eNV5YRp9', '6hy9IkiPT2516oFewjvLcv', '31O4FsKvOkRfXZs7SdzaeS', '4OTplOcUbqVcBVLVexGb8o', '20cl2GKkPPFb6bbXcXjnwv', '7uwmKVQW1fjrW73pPcc8b0', '709VlbVBMRxHcZRfpwj2gK', '7bZ6ExGlh4DKMPI1AEa0aC', '2vwWL3qoD4ApDdXlCv0VGc', '0lpRQ4GmWJ1eVuh9A7KigA', '70i3GCeFPpnhaC9oGkbypv', '10QFIBFSFHIkSkv3Qp0ZF6', '3pUiwts6V7X4vA7Omlo84J', '6Ia8BBNJ8C8uOoXpiAKuLL', '7HC2dUiukgeEPbDxSFVfK6', '1rpr2L0grLXVZGTYKrxJyJ', '3w2ibNT39JFjZNjkdBLKpG', '3ZtagDMr2RQxaNRNvGqWT1', '5TNHTgtufEMp0QHffZXZ9Z', '4q5jua785AFK9YKBytpJjd', '3dbbHz8HyiQJ5Umr1O1rnl', '1lIp3jpxoKAVR2vKUWRkVh', '1eimnjRMuZraVsEg7r1xdx', '50paYwbnlozRhB0xQUISpv', '4jrUIuPf0ebkdDxhNXWKcm', '5tYEE4Pb8EZI1RjqdePQxG', '2Kf2g1j3Rnn9zeDvtc3mXh', '2QMRSK5E6PbvOAbJjr44C9', '16lZRGZhzb1QFNzoEAG6xs', '03XTeFTTHUTFq20MpyFYuf']"
2F6XiSDES8mbjRsMb2xiye,inFAMOUS: Second Son (Soundtrack),"['5eYJB2Ikn8cPSkymUXeXR8', '4WVbC3B0eq12rGsEz4ROQu', '7cppAmFdOochvGuPdz5wq0', '5KBDZruda9UaQThZa4MFqB', '3EUuliPUTuM6mFjhNsfFgS', '4jFTIZhLXhxNoXq6kRsEnQ', '3PBUo1kQiLrTGPalU7oQQ1', '6adMQSmpqsAV008B2XQbcJ', '1iZR1euFFH8KRewvqAw24g', '4Fsb8pAsGYpN8tgCZco0AQ', '1ETcfTCiG1UYdPflmdCIRn', '654lMfCC5gsRmEdf10tJIg', '4iDWv6XBO6LWGJJNB2iflm', '6gV174CEFDDZV3CFjRZqaw', '25lF5R1xaSca4OGJ3gYgVT', '7Blu7ToDCQTngnTO83BKwo', '07o9YUgF3INn8lb7cC1PMB', '3Xjyrrey9MZ2zZPJgfPRdY', '0kH5mzL9jXJvvZUFnL3Vbw', '3G8Ngd8o3LbLzcq47wSrZU', '7hLZSaHxPXxIdjhDxpiXa9', '56tGOVbkxcSQs5iZYsAVyF']"
28LnQrJf1iPp3p7bRBt782,Metroid Collection,"['4G2QSwMWqyJ8ONH7V1Hi6u', '4s49ctugNmPXTC354mYEam', '5zqWvMXa4uUc4mIqAgEmvv', '0XlyIRe8sOkgFA3dIOuOM1', '6QVNbawPIm9sMXYILau46F', '7lDWwEM7ZTlLPyzu5cm5Gn', '4Hc9axB4lia5bTIJKEBzkI', '53J01TTAr2muk87Rx7h8CK', '0kgtoGKFaIhqR5L8JRiRpq', '11LCgPRfqaodtTrjLwQID3', '0ioBZYPrZ3YLxgvvyhJqCg', '5WWBugzyIT9EBCwNZrqUVE', '6gcRzvPSv2BE0pETSZlFuf', '3GIU9IF7OyriKaTyVSOXXm', '3WVuiYoa2uQSLBTLD73ZSj', '11rMouIohAoQTzaSla8rQP', '5IUZbJqQzhMwYxqx5RaP8p', '1jLcnzgP7ha4VlHGj2Vzhh', '1n1cWsF9EWRz7b6vRGdVhR', '6WCtXWBfZreaM2UctYpD8J']"
