track_id,track_name,track_popularity,album_id
0AwJspaHoAf5Sq7HNJSdIC,カトラリー (feat. 宵崎奏&朝比奈まふゆ&初音ミク),49,15kgtRAf0ZZ7f8VvoPgb6o
6L0sakDf3KAqCsAHIKWoQt,SNIPE WHOLE,3,0fPcAgZFkRRXxsrlWXzTWz
4SwDUW2MdaQYibVdRPhj49,Leaving All Behind - overcast,17,7sE1BQ1GdDqrYazbfcVerP
0kG7LSpVq5Io43Z3EUI5k9,Make U Mine (Cytus II),0,0znPXdmiWApjfsbhcGG95Z
0PEDSIUPCGpX2v7WWUWjox,AMAKAMISAMA,23,48qzHVOaVXY7nq3BMWOfyT
7njmvcAZzBpnppNLrgwkqs,Itadaki Babel,29,5y2plpAX8NtK3q1Klatast
2QHD7jGQzeNVaKUm7t0B1I,Catch the Moment,0,6ShPLRahLkA0WcZ07ZLID9
3RannlvnBgRRNY2gg940x7,脱法ロック,51,4RdqGPBih6Q5RfPED5sjiu
79aQ48Fxwszmj4xVhPtDpc,聖少女サクリファイス,21,1Qp9i7JrRtvM1LBxxLjo8Z
4BXW2IMmvvzlWeDU1itPZk,Hay Fields,8,6N0apmMHrOvWLcoPELsSmq
7Hlbekswx6XAgDZQeOfQCN,Elysion's Old Mans,34,2aTor84RrNdHXRfNHCpTSz
7jQrn6vwVaziAI2WKDnh5L,Graduation Song -叙情-,2,7z5Lkk8yHhVxSedYNgrhOq
6IQntLwjFdEKmAlkAtWkpj,脳漿炸裂ガール 2015ver.,0,4rzn9q9nvsMSnfsFs7spQY
4xbpupq5PXofHY3H3q0trr,popcorn,1,4qrFmzQfQin8bG45muMMIk
2tua6ikQ7X9AdxJEDBd7Mj,Sha-ki-n,0,1QLnM29dBf3RdMDj82nxZ1
0ASw64KfzSUtChQDfzC906,脳漿炸裂ガール 2015ver.,54,11wsf9YJHLcnpAxUtldSZs
7hdw8bTP5VDL9mPrAdRIry,Animal,40,0pdfn8iZCFwa2AakaapYxu
1iiHMCL1APM9DTxVZ1jQpX,quiet room,0,23a4QK0SEpwxGdb0VeZrEc
6ZVuAsZwkr9WCTYVyWQqWV,OMG,0,3tmQgBbG4lb9ZWC7QBV1oI
2CM1Z5qRMGWAkLEXhISiEO,玩具狂奏曲 -終焉-,3,0i3scaUdJKpTqj2qIrwXKR
2nmuLU0y8Mk0nJ9zODDCF8,larva,19,2MCzRtuHl0qT3EXr5HoNmT
07ja6ijB8a5DAsfwKJFoMb,腐れ外道とチョコレゐト,45,0rclMLKSwOEJ9I7xauRFbF
64QRkJ9ZL67XgmnbWl6OBs,PERSONA,27,6OBJANGCVPvGGg1CRSCmvv
1jBJLgnRqMmDYvftTluHoq,un secret,19,03Tn9sU25tQQyFEzk7IFsK
4kB8uLRcquqMiCdSnHOHjM,B L A C K - R A Y,30,1uCdllVv6ezyX77vu98Bjh
