track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,-7.19,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,239845,93
3azJifCSqg9fRij2yKIbWz,0.645,0.534,-10.8,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,89
2ksyzVfU0WJoBpu8otr4pz,0.593,0.641,-12.727,0.0992,0.426,0.901,0.122,0.147,175.014,142839,89
4h4QlmocP3IuwYEj2j14p8,0.768,0.714,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,163026,88
6I3mqTwhRpn34SLVafSH7G,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,88
50nfwKoDiSYg8zOCREWAm5,0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,88
5wANPM4fQCJwkGd4rN57mH,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013,87
4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,178147,87
5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,87
6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,87
3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,-5.24,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,87
3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,87
5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,87
3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966,148197,87
6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,87
4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,87
0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,-6.05,0.0288,0.727,0.0,0.174,0.227,101.358,177720,86
6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,-7.222,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,86
6odrHMSLjP3aOXC4ipKUC6,0.775,0.465,-8.365,0.365,0.609,3.23e-05,0.114,0.707,169.781,223993,86
567e29TDzLwZwfDuEpGTwo,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,86
40iJIUlhi6renaREYGeIDS,0.666,0.465,-8.545,0.26,0.0503,0.0,0.215,0.292,167.937,291175,86
5enxwA8aAbwZbf5qCHORXi,0.631,0.518,-8.771,0.0303,0.274,0.0,0.088,0.205,93.023,613027,86
7EkWXAI1wn8Ii883ecd9xr,0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,86
5ZduaRci3iNUiDfJbBfAaf,0.874,0.869,-5.996,0.0315,0.00116,0.00238,0.164,0.726,126.027,102861,85
2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,-9.72,0.133,0.765,9.67e-06,0.0839,0.338,168.924,175933,85
1qrpoAMXodY6895hGKoUpA,0.632,0.773,-4.856,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124,85
5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,85
4qu63nuBpdn0qHUHuObEj1,0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,85
2JPLbjOn0wPCngEot2STUS,0.644,0.648,-4.601,0.118,0.276,0.0,0.135,0.44,179.951,206710,85
5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,-10.497,0.0364,0.866,0.0,0.147,0.218,172.929,152667,85
1Ov37jtRQ2YNAe8HzfczkL,0.583,0.67,-7.289,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,85
