track_id,track_name,track_popularity,album_id
0fWmyJBdnzthK4mjMEx1oU,SIMnata #15,0,7ycdCSJkou3lE7MLECIgz5
1jAjzCmdt037k7WzbFXdoU,CastleStorm Theme,7,6BhfTe5WZ6HDBWfCWXhac4
7GBP9vqKB9o9wcQrkblICD,One​-​Winged Angel (Final Fantasy VII),50,04uEX0wzsnA5UcaEtxcbal
1o4FFcfj50PeT1rPBsFbGn,Long Night of Solace,0,7DSgphLt642dLkai1yP6ab
5YFoMXiNvvuxFeToxbEGf6,Sepiks Prime,32,5ZJrV5uHaqQbQNdMIPhSct
2ek8bWTNQfGko2BfnQCl05,Blasphemer's March,0,2VCbjsXe9VrOWsPMuppifv
1rgC5Ac7tyxipNxFFjyOL8,Alone,14,0NY4XVz9uX7a1q6sPgdI4j
6dXsS7N0OcYBnqoWHB2el9,A Wintry Paradise (Stranded Ship),14,2GvoGdztP6rTHFFguk1CtW
0IO1u0im2jS9oe9j3Qw7y1,Can We Still Trust Our Machines - Markus,0,3DdgFZ4HatZt4mO1bJTKEy
16E0MUDEEEJHY4qO85gVPZ,The Nightingale,0,5GAHLnlyZGLpOSdYI1tQ3R
3ODJsYIYVpXvn6sYXpM6fR,Final Fantasy III (Main Theme),0,0cvTRmxtP074pPRhndF2RC
5SRWCYUqJlPpsk6ovWX3EN,Mountaneering in Higher Higerlands (feat. Oskar Clase),7,7pFhYkDvL6PHiLvhHAa1V3
1bl5ITvUqmo0e027E91pxR,Chemical Flow - Chemical Plant,1,7z7V2Hstyx0eb17Ae3SFbE
2FMqiPzPelXwM4miQDCB1w,Flamerock Refuge - Tiny Tina's Assault on Dragon Keep,0,74gcKxCLujM0rcm4ornkod
6VIzhy3Jeg6H1Ure3RfYVL,"Moth, Butterfly, and Torchbug",45,1Izk5BfWEcqO6flNet5gey
3KvIXVtEofrFm56HDp6qGq,Shukumei,7,41QgZ8doUjuQkAkvsYFlp1
2OzHKOI5pIbE0b0am9p1yY,Climbing the Throne Room,8,3hNLjKxhFmzR2V0XloauhA
0iP9XqyYrRbEAG9iNUMMdM,The Tree When We Sat Once,0,5GAHLnlyZGLpOSdYI1tQ3R
5ETC2yw1qBuYVNX0VCbJFI,Mages,0,4zdqbYPSCx45MSyA6ApLYz
4pW1ftcpCJt1VxbPwVknz0,Tavern,47,3McPVq1RT8F2ERSiajR3WS
5TwCzfy2YSVcLeUbXnx5jr,Mass Effect Theme,0,6tjs8zghiHaGBCVLbBqchh
5knFSk7QZUwndUPkyRjJgV,Copied City,0,2b7smKKOhahaYTQfZaR7Ta
5J96tQkhAb4eoM16I0HPl7,Kakkara Desert Theme ~ Secret of the Arid Sands (Secret of Mana),0,4WCCdxXYClmeltsWjW6UWE
6ILN4KNHnknmvqj6Xybcso,An Unsubtle Approach,21,4YQsbhCYkpmueqKC4aEn7f
0F284NONM504OFNIltxueQ,"Huzzah, He's off Now Goodbye",11,2JmpHE6WSN7Ft1K81p1MKr
3qE8HJT9ndOyndCvqQYK86,A Survivor Is Born,0,6WDfHPop1iTSVOroXl7osj
5BL2lSQHE7qiHf60V85hIO,Memories of Yokuda Lost,26,1Izk5BfWEcqO6flNet5gey
2odFX0bPdDqZMfksBdOtYt,Flaming Dart,0,2ZB4aNlAcAK8pOpe11o7WR
3Hb9YjZLYBLikxJ1kd4BMa,Spikeroog,55,6pYNEn4tMc6gdv5fIZf5yn
2BEdaGC6BlYfHmhxCZBauv,Status Quo Show,0,4mLtBwDvb4d5wmBVjAjmp2
1U2oBXyTRW8NrioakVhqGr,Kaisou,3,41QgZ8doUjuQkAkvsYFlp1
5bRayxnRkkw5zzT8BT3xF8,Cut to the Chase,37,7EgaELKfoWg2UoyObtQEsX
7t4dcrtEydvCAXXMZMty7E,Battle Scars,0,4vyJFhDYqchKtqj4C58RAw
2NK2AYdepapFDh1lh4qxTI,Halls Of D6,0,6ggDsS6BEsjSX9M27eOT6a
1j5JuasIXkTJ2DzkXpSbbP,The Frame Game,11,7GXcRYmAw1fTgSa2Pdscwh
67FhZMDAoQspFFBV3ujJPi,4th Movement of the Odyssey,0,5qJbK2J15QLyLm7Jfs7XSP
4mpjUQglXSZCSyZJdNh8t4,Holding Up the Sky,21,0NIw6CSJ7BKAdvEWAwkjng
3Om3Rw8bKl4yZ3qbniZ6Pb,Title Screen,26,2HrVkjNMJVNcjUSWxUzyCR
5PFSK8u9CKO4r0HuA1xUqw,Things Worth Living For,23,0XvTyYwQQhNXYFPbsCzmrg
6T4WF51ouHWr2BpqoJKH6w,What It Has Always Been,10,7GXcRYmAw1fTgSa2Pdscwh
4tVWZeIBLnClehhVRLMV2J,Scape Melancholy,0,1qIRsav8WGOCV7cXh7VDS2
6tIl5JPPiUbBG1UI8QN9bO,Infiltrator,20,0Ghjope2CU9IqdmCZTCNgn
5uiqrM9NLgnoAkJeqJqdlt,No Escape,51,5jTYZA6b4VoSRnR5TMldgb
0jKD9kDLxvE45flJodmKLB,Of Noble Blood,21,0SEnOS85pgO5OtyITw1EUW
2psvf8oRNYCfAEdiW7jGEQ,The Deep Roads,0,2FH0u02u1TBVCuryEQKZV9
2Yn2yvWytpTvEu7ePl6fkD,"Corridor of Elements, Pt. 1",6,59EuNnwsJyfhGf6XQ5KS0Z
7v8jz2cNK9iIBzVNSmD5Cw,Finale,0,3lZRKTA5LCeR3qVoxOBdDn
12OHfrCclWkN6oCjAs3VSA,New Bordeaux,31,1jCfzTRSGbTSr8IGiBoROz
11R7067518d8xZGzdMsnhS,Sport Acapulco,5,73ha5wA0m7ksItPXK7Vitz
0Tu8bzCuLTx2HoNImqi3QG,Lax,30,4L2kcZwUhz5Es7c9rUku5a
6tp723rvgCw2CT9kcliPCZ,Call Of Duty - Modern Warfare 2 - Theme,0,7Cwh1nJBeVrEuzpZQcWyPE
6Z9eoMfegGE6pQc9Toawnd,Empty Town,47,6putGW0KxGMrgTZzplp2pF
58B980JhmOlGh7iMHyk48O,Override,15,4L2kcZwUhz5Es7c9rUku5a
7Epsqwic0O9yfbf0ll0z9w,Broken Vessel,47,4XgGOMRY7H4hl6OQi5wb2Z
4Ljxr8XrVAVNEUwvhGO9PW,"Komorebi, Pt. 2",36,2YMWspDGtbDgYULXvVQFM6
4FChlqC7MbYI9N7v31f9eN,"Intro (From ""Turrican II: The Final Fight"")",0,5QhH32b7wbsjdBRCVoSz0J
2bt9Lzsdf892bsPhke8qZE,Major Rewrite/General Chunks,0,0n2Xieekck5Rm8wMPUiwDt
69Jzy6NzHDV7I7KYOGWaxm,New Snow / Klippen efter Fritz Brodin,0,7kvuwmFi04g1YzIoSMQtjj
6ROpWrIsgpx8g3oziMaR8W,Horace Highwater,0,4UteT5hE9vKZbH73GNFv3u
7rFAckejRvwJ6pb3If2z9o,"Beginning (from ""Castlevania III: Dracula's Curse"")",0,6DbsnY1FY1ppK9EK3bOdLD
0SpWxRBKcJgKX8lC6BUKnn,All Rounds Expended,0,1gkNkL78ft3maaFuZhOLZ2
4IR3ePOSr7cpTNXKKFFukn,Struggle for the Ring,0,0SryLtBGGy23KtytbOXxRW
3d14L6tKNNSuLOiqfAm37C,Fish In a Barrel,0,5C4WWG7nAvT8Xg7fTtlBKZ
0POpcofkTDh1gGTEHlSAsm,Leisurely Brows,0,0n2Xieekck5Rm8wMPUiwDt
2exum4t9Hp3zDIdt8XQbjF,Mac-V,0,2ZB4aNlAcAK8pOpe11o7WR
5oY2stk9veBADP09GRKmMi,A Welcome Respite,0,77SNbZAxHWjlgVFtyS4rcu
6XR8d43ml6MnMjpdxQv8U0,Germany (The Atomic Era),27,6ERIx2c5kFBBFj6CEI7BWd
6DOep8Fgl0BUeOeUi8Ug7w,Title,35,4yBuv3i2RiAjvYP0IcDagC
6ieTsp8CHXEi0gWgvCOm0Y,Valor,35,6Dh6CBAsa6sDFKAeFfbGlU
7I9HbULEyfLxNEzJwnoU6f,City of Jerusalem,35,4PPrQHip0EOfO3tqgDgwZ8
4tn64cwEG1H7IlXJKt1N54,A New Beginning,16,4Vmv5JMd2k5ZweNMUugzqo
0oxIAvNwaoTl0xpISzzCON,Fourside,0,0ASYeLpo3SscsHfp0WvfCc
6NbAq7GsybFBjQUr1JUONn,Halo Suite,26,5VSn8u1jIci2CsaFVteugr
1QX7A3slzREZDSokxXoJYK,Calico Desert,41,0swXkrnGm7RP1BIHiqV8Jk
5HkqtYADpj6CLaExfpjLy7,The Forrest of Light,17,0SEnOS85pgO5OtyITw1EUW
5he4UepCqb6KLDazoEbey7,Boss 2,0,18MtsMVIkB6bpz2EvIIjht
40VMRIP8eaKFR0Vkt97QHT,Slaughter Club,22,0SiUDINVt394gDbBeMIez2
1TfpkyDqRkZj2bVHlG22e0,Y’ffre in Every Leaf,35,1Izk5BfWEcqO6flNet5gey
6DxZID6t2f6ODzijWNd2g1,Rounds of the Fates,34,0SEnOS85pgO5OtyITw1EUW
3wB5Zek4AUh6FlKVlomDDD,Arrival,0,2NkS0htQV8JnF6v6ojZotD
6YquGNlW5KGhCwUWYz0vxr,Village of Shadows,35,0OmHth9izCltpC5ggqkLkA
2o03K33O9iK7nVpyaIpwGs,Theories of an Eager Heart,8,6ke7BQ4aBs1wV5lWPScx2H
7slXDE5wRQ8LYGvlw0gW0M,Prelude To A Lost Cause - Orchestral Version,0,2k11UtanEt7ae3MBY6ruDl
5fHgBb5r91Jmdr8Q7dwmad,Secunda,65,25r7pEf31viAbsoVHC6bQ4
5T2rA6LmhQ8mDaqlFsUvW0,New Terrain,0,6rP5vrLZjW3RpS9oVVzJA9
0IQfvOj1yp52FErehzcmmo,Hail the Nightmare,40,5nRwiGsiEtrFN847UULpzL
