track_id,track_name,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_popularity
0AwJspaHoAf5Sq7HNJSdIC,カトラリー (feat. 宵崎奏&朝比奈まふゆ&初音ミク),235453,0.735,0.717,-5.139,0.0582,0.242,0.0,0.146,0.8,107.914,49
6L0sakDf3KAqCsAHIKWoQt,SNIPE WHOLE,142320,0.567,0.955,-4.396,0.0882,0.0062,0.000214,0.416,0.6,171.994,3
4SwDUW2MdaQYibVdRPhj49,Leaving All Behind - overcast,307904,0.668,0.618,-5.974,0.076,0.101,1.51e-06,0.211,0.333,164.974,17
0PEDSIUPCGpX2v7WWUWjox,AMAKAMISAMA,236143,0.697,0.688,-8.352,0.0699,0.215,7.47e-06,0.351,0.395,87.017,23
7njmvcAZzBpnppNLrgwkqs,Itadaki Babel,219718,0.63,0.899,-5.634,0.0568,0.0102,0.000407,0.117,0.873,142.001,29
3RannlvnBgRRNY2gg940x7,脱法ロック,188187,0.541,0.845,-2.071,0.165,0.559,0.0,0.0666,0.744,155.056,51
79aQ48Fxwszmj4xVhPtDpc,聖少女サクリファイス,290000,0.441,0.923,-1.516,0.0665,0.00616,1.06e-05,0.375,0.332,167.999,21
4BXW2IMmvvzlWeDU1itPZk,Hay Fields,149308,0.463,0.94,-8.449,0.0948,7.13e-05,0.879,0.16,0.651,170.01,8
7Hlbekswx6XAgDZQeOfQCN,Elysion's Old Mans,140080,0.769,0.706,-6.192,0.208,0.0923,0.000388,0.0431,0.753,118.774,34
7jQrn6vwVaziAI2WKDnh5L,Graduation Song -叙情-,217000,0.585,0.304,-11.062,0.03,0.959,0.898,0.0927,0.102,120.954,2
4xbpupq5PXofHY3H3q0trr,popcorn,140907,0.611,0.871,-5.135,0.0476,0.00818,0.0161,0.289,0.644,129.936,1
0ASw64KfzSUtChQDfzC906,脳漿炸裂ガール 2015ver.,192440,0.427,0.966,-3.091,0.134,0.0404,0.0,0.348,0.675,154.961,54
7hdw8bTP5VDL9mPrAdRIry,Animal,152267,0.476,0.952,-2.662,0.0974,0.0329,6.6e-06,0.304,0.76,188.111,40
2CM1Z5qRMGWAkLEXhISiEO,玩具狂奏曲 -終焉-,143627,0.368,0.369,-11.355,0.0348,0.965,0.853,0.111,0.181,132.871,3
2nmuLU0y8Mk0nJ9zODDCF8,larva,148453,0.517,0.875,-8.868,0.0865,0.000189,0.893,0.282,0.395,100.978,19
07ja6ijB8a5DAsfwKJFoMb,腐れ外道とチョコレゐト,195484,0.544,0.978,-2.03,0.0931,0.13,0.00462,0.0877,0.765,130.068,45
64QRkJ9ZL67XgmnbWl6OBs,PERSONA,282514,0.452,0.97,-5.403,0.334,0.000538,8.85e-05,0.365,0.473,174.951,27
1jBJLgnRqMmDYvftTluHoq,un secret,136444,0.348,0.581,-4.978,0.0292,0.0138,0.0409,0.147,0.486,190.135,19
4kB8uLRcquqMiCdSnHOHjM,B L A C K - R A Y,276000,0.246,0.993,-2.389,0.586,0.00103,0.62,0.344,0.0628,173.746,30
1AqX11ouFrrvOoR1rELfCv,Imazo Agametatemature Omaerayo Himenohi Metal Katubou,143400,0.583,0.992,-2.35,0.0736,0.0828,0.000233,0.0851,0.331,107.035,5
5Pj9tVOnaq8RPoKY0GN1EG,Xevel - Platinum Long Ver.,269453,0.297,0.883,-7.989,0.0542,0.000105,0.0688,0.127,0.0428,184.784,10
6eRGhvnvTupzEVMB1K9xXK,悪戯センセーション,270000,0.434,0.988,-0.777,0.136,0.0599,0.000469,0.269,0.365,192.089,38
7iHVHCF3OYLr307IVfNjTJ,Tsuioku,147507,0.202,0.736,-4.433,0.0376,0.325,0.952,0.098,0.0928,84.029,10
4LBgkkzm4yZFr1VYZ3lzLN,Moonlight - VOCALOID ver,234495,0.659,0.775,-5.981,0.0913,0.0204,0.000221,0.294,0.706,109.031,33
3R8CRyUA2L5nQYxRP7GvNY,Oshama Scramble! - LONG Version,257040,0.476,0.995,-7.391,0.0595,0.000134,0.249,0.334,0.355,94.986,10
5X9ycYsHdb4XeeKmvZVmMs,気分上々↑↑,230960,0.67,0.967,-3.121,0.121,0.246,0.000152,0.294,0.656,125.038,45
03Szw29ysTw888bMThsro3,PERSONA,282514,0.452,0.97,-5.403,0.334,0.000538,8.85e-05,0.365,0.473,174.951,22
7k8nbk4y8fpzTgM9b2R4CD,World Vanquisher - album extended,357080,0.343,0.951,-6.513,0.527,2.52e-05,0.000849,0.306,0.182,169.924,15
5B14d99IOYIMsTNr6LVkT7,HITOGATA,225067,0.543,0.946,-3.17,0.0849,0.00553,0.0,0.223,0.63,150.074,30
13nxzpXY9jkjgNBN97Yg5A,Alice Music,247999,0.593,0.786,-5.362,0.0318,0.494,0.0583,0.0888,0.324,128.007,10
6PLxXK82pZ10AfD48XT6Ob,仮死化,238151,0.498,0.866,-4.813,0.04,0.121,0.0,0.186,0.509,92.051,40
5oePrxiFqWV9ywN40jdWCs,maimai Chan no Theme,105333,0.813,0.521,-7.613,0.0518,0.0199,3.33e-06,0.326,0.936,135.973,2
7AOr4xamtrKnYYqmM1iu3L,Surveiller et punir,145813,0.533,0.986,-4.339,0.0506,0.000252,0.841,0.249,0.812,145.001,2
2f1Z6UOTdJrt3L7oafdomm,Dropping Lightspeed,217886,0.576,0.95,-3.236,0.0877,0.00473,0.827,0.0697,0.181,190.027,17
47HFxxwuV4aNgdmjXopCby,Yukyu Buraku,136093,0.382,0.993,-6.809,0.0988,0.000377,0.657,0.364,0.864,195.096,13
6upnQQE6IwsgPgxASNt7GM,Q,258000,0.625,0.811,-5.348,0.0532,0.00388,0.00145,0.502,0.738,120.082,36
2s4SRzAxbSX2yjcTNRC5pn,Oideyo Takasu Limeland,142413,0.573,0.898,-4.254,0.0571,0.013,1.45e-05,0.298,0.527,169.986,1
1wEWrcTq66FdParPS5bh0f,Protocol Signal Generation,128148,0.461,0.928,-4.998,0.0369,0.000433,0.0188,0.0924,0.654,131.97,2
2AMzpCbb8BBD6ERoUeGtwh,Dan Certification BGM,39693,0.652,0.855,-8.668,0.0514,0.846,0.973,0.0762,0.966,137.994,2
7GXulzKv2OD1Uj2caYCQ2l,クレイジークレイジーダンサーズ,249100,0.611,0.995,-2.365,0.302,0.0606,0.0113,0.301,0.529,172.243,17
3XN5Yd8h8DeQCsqlyFaVzq,Alice's Suitcase,229749,0.542,0.982,-2.955,0.0844,0.0194,4.31e-05,0.196,0.505,94.986,23
4skgGf4xxKAhKyyUcwvGxb,can't make a song!!,265379,0.472,0.998,-0.579,0.0743,0.0929,8.78e-06,0.257,0.533,164.987,19
1YDOZicwW8nfGxZKurN11b,ミュージック・リボルバー - (GCZ Edition),138571,0.385,0.992,-7.64,0.0745,0.00153,0.637,0.236,0.179,167.984,16
2MM6iYUG1egaxNVCojtM96,君色マリンスノウ (feat. 初音ミク),238045,0.406,0.976,-5.79,0.358,0.0577,0.0,0.109,0.242,202.3,34
7D6aBkxRFJqcIGjOCzebPO,幸せを数えて,267008,0.485,0.658,-7.242,0.0273,0.0523,0.412,0.152,0.439,162.017,13
7Jof7MLQrQvSWMfKu6eWcc,The Wheel to the right,146240,0.588,0.919,-4.806,0.0796,0.000293,0.303,0.0514,0.698,100.051,17
7CVpqLANmdV127gH7z6Rzc,Naked Dive,286227,0.485,0.994,-3.246,0.214,0.00487,0.0,0.0585,0.232,158.055,38
004a9RF3AFP9HhbnLpFLs4,Drink Your Light,198000,0.64,0.61,-8.057,0.0624,0.00279,0.00664,0.252,0.587,169.979,42
4PdBT6qpK4PvVfgsVqeo9J,ナンセンス文学,205750,0.565,0.93,-2.107,0.0558,0.0915,0.0,0.0491,0.958,154.099,27
57JRZbE80MLsYbmb24cPee,Bad Apple!! feat.nomico,317391,0.487,0.753,-3.184,0.031,1.63e-05,0.000715,0.0977,0.245,138.009,57
4xZ3NUXns4mNEYFrJQhE8b,Firstborns (Cytus II OST),146750,0.27,0.936,-4.102,0.0918,0.00366,6.53e-05,0.0947,0.138,175.366,11
7jEwBMtA7gM43NxiuvfF3h,君のせい,263067,0.39,0.986,-1.51,0.0812,0.00079,0.00704,0.304,0.557,173.998,59
5Ny6SkYFuGoGTj0ljzkxNi,GO!GO!ラブリズム♥,153347,0.492,0.849,-4.476,0.0471,0.0226,0.0,0.376,0.803,176.105,4
748S6fKyPn4JZBjKIoKYYL,Peaky Around!!,250467,0.441,0.891,-4.016,0.0657,0.0292,5.51e-06,0.12,0.0778,184.099,33
4DUHCazL0BNYAxZjq8MYT3,Colors Flying High,247122,0.63,0.924,-6.054,0.0491,0.0209,4.45e-06,0.3,0.749,124.052,42
4obJ5tVeyDLK6Je9W1IPt5,シンデレラケージ,225827,0.401,0.944,-4.168,0.0745,0.028,0.0276,0.115,0.485,174.109,11
7K15zDRe9i1BYjXQOve9zF,PinqPiq,135787,0.627,0.912,-5.337,0.0481,0.0147,0.937,0.117,0.964,116.996,1
2RCT8aRB2cKcObxIooKImm,ÅMARA (大未来電脳),195507,0.356,0.875,-7.461,0.0737,0.0607,0.0,0.322,0.409,114.149,37
74A5fPLR86U9XWYostkXwS,マトリョシカ - ORIGINAL,198707,0.552,0.901,-4.313,0.0672,0.000102,0.189,0.0387,0.77,102.507,59
1YtzLwuQo89hmU0aXVPNJD,リザルトBGM - ver. CHUNITHM NEW,73406,0.579,0.94,-10.111,0.0589,0.000142,0.906,0.227,0.63,172.021,3
4XYo6Wir9SVclzDPxHHjVm,Wish You Luck - KAN TAKAHIKO Remix,244933,0.587,0.965,-6.68,0.0539,0.00215,0.00813,0.105,0.32,124.994,21
2MsLUFhzMh2RURoGrftrAp,TONDEMO-WONDERZ - UKRampage ver,196755,0.609,0.983,-1.668,0.046,0.589,1.3e-05,0.209,0.944,86.058,21
4AiNuNIRhdOeWwKunKHGI5,円尾坂の仕立屋,384841,0.643,0.698,-3.896,0.0356,0.724,0.0,0.0785,0.859,180.007,40
0avbIGWVb4n7CcbomSEogt,Teo,210000,0.343,0.972,-1.909,0.178,9.1e-05,0.00686,0.294,0.249,185.14,48
63XyZucMmhwXyHykdN9NeK,Nautilus - long mix,291000,0.599,0.717,-10.365,0.0296,0.541,0.966,0.0884,0.541,107.992,6
3BV1QRGugT7MxBTmAdymK4,Sairen,229143,0.626,0.977,-4.054,0.0603,0.000802,0.000104,0.345,0.68,104.987,25
6vlbHJjsQUxDlVZBHWiRKj,シルベ - Mage’s Dawn Ver.,210500,0.66,0.847,-4.871,0.0615,0.0344,1.76e-05,0.377,0.788,102.979,3
58QwYDuScRq9eS6YsAPWLj,《紀律》 ~ As One,143076,0.568,0.791,-10.286,0.0506,0.000842,0.000299,0.279,0.598,149.923,11
2lLUq3ZRq4YXp58tQy5QHX,RAIKIRI,139093,0.421,0.956,-7.03,0.173,0.000673,0.702,0.357,0.666,165.066,13
6KdIxIw6TSBmN2l4nxXzVt,FAKE OFF,317467,0.53,0.936,-2.966,0.104,0.00639,0.0,0.0698,0.527,149.88,37
135jYeGF3cPhojcq7B0MQl,Scream out!,263808,0.436,0.979,-3.344,0.0413,5.5e-05,0.000182,0.138,0.864,165.069,25
3KsJYk6EDfkDZZM7CWcLWA,Last Goodbye,135195,0.164,0.819,-9.539,0.062,0.000617,0.938,0.0792,0.248,178.27,52
3XkODQB4J2EQIOVKIhXp56,Amazing Dreams,258333,0.294,0.989,-0.886,0.145,0.0174,0.0,0.0474,0.388,94.198,42
2BgXGOkTHwkuslhJMgjIQj,ドリームトリガー,253800,0.404,0.986,-1.028,0.151,0.00204,0.000532,0.0846,0.608,83.647,35
4YpXFUkXIhGYJYxEATfALn,Blazing:Storm,142960,0.345,0.949,-4.443,0.108,1.07e-05,0.66,0.156,0.433,164.923,8
15crqAVQDNOv2OjcPGkmwv,Crack,145293,0.576,0.885,-9.722,0.0693,0.0127,0.0,0.432,0.685,100.035,6
12AKeMOa18Nho7MuUFDkfW,Chandelier XIII,218759,0.494,0.947,-3.783,0.0742,6.63e-05,0.0013,0.262,0.348,117.033,36
1CVp4kdln1HWxTQbB0SGjF,うまぴょい伝説 - 2021 Remastered Version,267947,0.532,0.97,-2.37,0.198,0.0752,0.0932,0.337,0.462,170.028,27
12shJ1oIZnCG5ZZD8HjQVi,Magical Girl and Chocolate,187600,0.646,0.863,-7.107,0.0531,0.0866,0.0,0.861,0.886,150.086,44
3Hc2p8YidWj1uJKHOaJptm,felys - final remix,173072,0.439,0.807,-7.368,0.0477,0.00203,0.135,0.0982,0.0701,90.045,18
7DMT2hASG1jOrFr0TJcc41,XODUS,131275,0.545,0.997,-1.138,0.225,0.00098,0.518,0.287,0.0787,101.044,34
4HV2zdfNV6hxc9f97jtDh5,"Hello, Planet",301200,0.672,0.884,-3.925,0.137,0.149,0.0,0.13,0.526,150.03,41
6Vb6aSdtIWF8LpSOc86Y4j,ID,116915,0.437,0.956,-5.616,0.352,0.00113,0.0371,0.265,0.592,172.889,11
5ub53g7Mb8BMbvNoL75LeX,Answer,231427,0.755,0.853,-2.04,0.0708,0.144,0.0,0.123,0.57,109.013,32
1Is4RmwHq5641ewuClET8n,アイスドロップ,224856,0.578,0.894,-4.96,0.0602,0.108,0.0177,0.0514,0.816,158.02,30
3ghYly2jUXbPlOJ7omJtP8,Operation Pyrite,262856,0.34,0.555,-7.926,0.0953,0.000651,0.0144,0.0832,0.227,197.88,52
0vlnRQiaj8T7vvhLDKMuRl,Party 4U,105000,0.428,0.996,-4.869,0.123,1.78e-05,0.827,0.0981,0.364,159.039,12
3TsgdRRveMtDPxw6QYJijL,Me,171000,0.538,0.255,-9.171,0.0298,0.975,0.391,0.0903,0.171,79.984,10
14gVVLshUj6f6Wbx6S4eFt,セカイのヒミツ,232200,0.57,0.928,-2.647,0.0365,0.0254,0.000169,0.437,0.912,165.994,13
01sZnyb70RlJO8faFX4tgb,ヒトリシズカ,258680,0.525,0.937,-3.056,0.0466,0.636,0.0,0.164,0.706,125.997,29
4hrhv3LGlhO0qK21zWeHgW,TONDEMO-WONDERZ,195823,0.671,0.913,-4.205,0.0561,0.179,0.0,0.304,0.96,172.063,50
47N8iLKk6fnFSaF732z236,スクランブル交際,183213,0.613,0.878,-4.882,0.0469,0.0114,0.0,0.0774,0.95,149.992,42
18OseKIMBmeACMOhpeBXyh,Hare Hare Yukai - From Suzumiya Haruhi no Yuutsu,228203,0.475,0.925,-2.048,0.0369,0.0639,0.0,0.167,0.444,161.925,6
1PxIHHwYCi8W989dbujLbY,冬のこもりうた,281627,0.681,0.554,-9.329,0.0294,0.687,0.138,0.196,0.457,117.962,21
6TNAt0MBU9myG4LY1DZ6ME,Boys O’Clock - Long Version,191040,0.671,0.92,-6.154,0.0542,0.0276,0.397,0.361,0.762,130.974,1
7p0TzanjebatfhQcQhnTt8,Parad'ox,140027,0.456,0.599,-7.497,0.147,0.00575,0.126,0.4,0.455,110.912,8
2Ukb3ax4BcAfhvPFfUOnd6,Black Swan Lake,143880,0.529,0.897,-4.852,0.0612,0.013,0.00068,0.323,0.57,92.961,14
4gcD8Xk9MFDrLz1tVItgES,Bitter Choco Decoration,196379,0.545,0.884,-2.032,0.115,0.0531,0.0,0.409,0.883,87.012,51
