,album_id,album_name,album_tracks
0,5on0IxwLPeAfqFVRXVotdu,Detroit Become Human - Kara Main Theme,['1CJ3mEqpn200vmaSz48mse']
1,1NCt4W6d8fNGkBQAjXDVrA,Furi (Original Game Soundtrack),"['1566sa7tQN3XaET8oWpHB7', '6MLptqfOLeV8uwAqwXaZ1v', '1n4eXR1NWPasD4eTUzu5ke', '0bqn14mmcTK896brFLLprf', '3sPjbQIcFsrH4TlLWZbKo3', '7o837RnwjtiJQ0X2JFzWxC', '0FtHZFjPoDL6kQGNi4JUOq', '5JPwe4PjY5QkfviqTYZgg7', '7mSmt2yar5VUXZNBV4AnpE', '0pmsfKxP4NB8rituJb7HxT', '2jn2wNfVZRKDmpChcAGo37', '1uAnBm1hMBWkIFdRwXfCOK', '4NjS3fRbr5r7JS5em1hd7F', '31cNfeFWpJYJ0rPeLTzXDk', '4CBdriBzXUZHpQlcyQ6ODJ', '6PGZsRLVpFhHbJLoL2xawa', '72sZpOwollMmZxoRB5hEGd', '7EloFI1ED8yDiPJWL1Gbjs', '0g7S3JquNLgjMyIv7vdcaE', '50bJvQSgfHFeZImFfp4QK4', '5uODHxCoTuirCnk0oEYyYv', '445Tdyge4wC6Qr7wosq5OY']"
2,0JRybfJ6X52gxLVdGNSenK,For Honor: Year of Reckoning (Original Game Soundtrack),"['11gkYPiJmBqKyXstgFmgAX', '0ZHPvPGJ9UsrVWlTEcvpVn', '74kOPy7LnzmsC2N5dJKjDI', '0is2WfilJJLuH0vVY66HS9', '47GmD2g1aQ8QG5TGS5cxC4', '25soVt58KGoy93coV4BMV3', '2gVeLf236tEYQ6QPHSPlWl', '1jPNVAphBYatS0kInPUBVN', '2M7R8NiLoy1yvDwHp6UY8M']"
3,3lgtI8OcJ5l45J2TLzZqlH,Deponia Doomsday (Original Daedalic Entertainment Game Soundtrack),"['0FtGY03shmZn7uoB0bJrn3', '6NWga8PuAhrLGYZmR9Zf6N', '4ytV0XWAhBD9eZKsFmZcNo', '2gjvZ4VRPFXKyW1yYlnafE', '6LE78ViqvPs1N1VThP0r8C', '5CCS8l2UL9WYU5Mmw7YtN1', '0ELU29Z5Za8Fh6XksrMBSJ', '2EqpVs4MPxYxNiChbfjz0x', '6phb1woE5uGCbz2rELWP3S', '38NXkRvJXLyky3jscVlNNY', '1HHb9oQK9bCPD5MgplcNpr', '2T4vYfYgxeP0tjo9nbuWMH', '6N4RL7dSatIUpYD7zRXgYb', '6hbVaj2OqYMhbZcOqAcnLE', '3RbocqrWubnWQt6zotEv5r', '3OMRiTuoeTTf2HPAZLBVco', '3QRITT6C3uqAbuOnvjnzWY', '2oVi0O5SA631bOFGSxanDQ', '6SaorG91vqADbShYHAJJPJ', '6PvXqgwU8CsFTrpgRzSER2', '3pZCmC6O5zCgBApluZok0Q', '3ESMWJohmaKcDThLCMM89R', '5Wu3tJKJUh3rylPUxS5yno', '36NpoQMA1H4RJlHMQYw8ob', '5lV65z8YbXrQwrKv9HfgnU']"
4,19uGvOnAhqEQ7irwCEce99,The Witcher (Original Game Soundtrack),"['1IJ3pSCbzhoaiOhs1VeQ6r', '6IrrD1fMzCuNYV6RhI2hAI', '0hv8o1BAlQrFTVDLqYVGk9', '5gwDoAIv8wDBQ2DzjhLG18', '3ZuUTfBprIf6INrZi7WjSC', '3jAPevaEJOj4UpUypVR1Tr', '7nXZeOk4L4BClYmVJ4jZq4', '0M4weXl7BUGFWW0dhwhzyz', '0gK9IzaETgE5CFi1mG2G2O', '3MZD7uucG2FnmxmpHLkpm6', '0NI53QNAxWf9BPMrB3btG7', '3aAeD4aD0PdM3gilTQscqj', '3XoA3CVtMyhucubTfEACPH', '1PJpHuP278StrhXMFmK7cb', '5909aYVMpnpNEObNANmBIJ', '377qAPpwD0l9wj756s5fbI', '6ayOHl6ZR9vu5oKAfdQ6o1', '2V1t5urCnSfvKLK8mOxSA6', '19by3m2Dg0IvprJW25E052', '7jxA6KwFkBg701OdZRw2GH', '5hoJXXNXmzO5c1YpEPzUpc', '6U4r5o2zdRpFZGBF5N9lRd', '6hjAfLao4iDCIASkt9JOla', '7AoQUfwO5OIGEuB8YLSa93', '0S6i7fRQHeFekkVpHcn0jE', '2tJNfnozUIUN0cwbgLsjaM', '5CzUczzpkkYLWzdPX213kq', '4VIEBaTh4FGNDuSaz84FiO', '1zQxpPFtJDvnoklsuN1ZXH']"
5,3a1aOpWK9cQMQJMGRoiUR1,Battletech (Original Game Soundtrack),"['7BBscCGiaUjMmWWK8Ez1Ut', '1nGohsct7zmYABTvAutGL7', '7zBnBiiubJnZcHCVI6WQYd', '4yasbLl7THrcjvf2GeCMWg', '1Hm4g5sRq99E1HUmBkeJZA', '6sLhFUdamXUI3sobBg4wEH', '668iSt569ijONZajUmgPuM', '6riOl27BsOIUNPmCC2cj9A', '1uGiJo1gPr4esX8pUGnyGQ', '3eGkRoDVRH4Alvn1602JMk', '2BVlSzW7YpjbYhetzaSp0x', '33wJkpm40yq12XdDT6Mzjr', '6YTVMYB3veqayyLQzBfHwx', '1W1l8EjM8svGAGSyW2QVay', '4O0tgLFRSlCGwzRLEyiUsH', '3Eg1HsmSof0XLCOdVTT70v', '03Zy7wfBvKyVcAit4hzj9o', '5y702E4yOFu5LXuIXAJGjO', '2Ct1QmQWFLD9v4ATk7CJiF', '3KQ7v0AyYDR9PLPkQK5Cwq', '452AzdakR2OzfS3OuXgR9N', '1NSNt0l9MHFV7cdk3cZwyq', '2Z1rFxE2D1BolpZjJZvBqB', '7h0TPzmaXXID55nUkBaFjC', '5KtUyXjX7OMgqyPTHeYAft', '4YRWIjrWjduJfaD0WqEB0d', '6IEoUfFbxSXxoXJ0eOpXFM', '4gnTlUXbJfLM71WYe25Zlv', '2Y48Vewo7TLyp3lzazmZnU', '5UEvHWtT5aGPiCkJxbG393', '5zExBnzZpjuzk1eoGSWJJK', '0H5Em10tA7ey4548Sga3j1', '7JCmUVd2spPMrIX5ZVc7MT', '4m1g2QQpRuu5f5Bl99SLct', '5Wf0IHnAbkrjdpPiJWIxrN', '1niXKFuRQGGoZJIXFtG0SY', '4OlY5EgRGzBC1mhKh3jILU', '42AoC1szI225mpYAwBWNaj', '0RDKN5fqfG4piFOx8DF2Gs', '5Eh09QT7kR2U6wd53S1v7S', '4pno1kGTMTxGUfJzRx5OxW', '1VgIOJPEWOVBLwh1ZnrWGa', '6in7FPmSY9JPcxeCux4y36', '1VaY62w001gcDSRtRq8Hv0', '2QjAA66weMdmh2cCHvGnfT', '1CvuSQFFfOzDoA4vOtae8n', '3WYa0cxrihO0sMa1XmBH7j', '0LmvMMDa9MeQz94RNqt8Z1']"
6,1FaIXz5L6LKVtivsyxxWcG,Hammerwatch (Original Soundtrack),"['2Mi4cRg3uA8c4FHApDsNfZ', '7a6U6mFc9vNP6K0WIgs2KD', '3C5VTNTPWlijPqvdZfb70O', '7iJwVUtToDmFOqIXd7DF2P', '2HIc9UGIG1LyZxO5125PLG', '1dNsf4poGKYFtgW3kHUJaN', '0dNLTlLZM7IdQFmmvlVKSM', '3lGmYY5NHoBHZGeJjnFhVb', '32IZ2ZtXss8msZ2U5o6elZ', '1iSn0zhvPIRewTmPlxnxxN', '3qswGITGsmrtkkft96u4NT', '7oJZIY033uMuQWcAwEks2v', '1hMIWEmVBBtShIvEIGI30q', '7gZxVMEzO2ySG6CuR6lYW1']"
7,6MLrVz0HyVkRUd9jnhagKc,Call of Duty: Modern Warfare 2 (Original Game Score),"['1y3zD8d7VKzJjfXVp6KcUx', '4Qw1GUG3WWdicrfQTwY4WT', '6l34h7TEcTgjBEo9Bg7D92', '4zWYFiULmo3olhSAXeOyX0', '6mBC1bXj7rD4VSgpXHgABU', '1P5JES6yn2dgvUSzaKSKFO', '7iDUhxaBcQbF2QYzmaGEaj', '12qAhDsTSmjojMQDZoiw3b', '4V5b9ck8zjVLjhEGr26838', '0Qex1HH6wOswOA2xq5sBNC', '2X6fuFsDCAUhWZ9tY2mxry', '685qYzrn5hwtudE0XnihNW', '2Bp9cPA7GFZnSjZX4UXrCs', '5b5J7RlYLMLzA3ndDg3Sg3', '2tyZ0kvAm3UQvnWL6xPHPg', '3Pc7Rfs20bQ4OLN5f4u3d6', '0F4qfsJvnRkqYRu51di03k']"
8,2WGdVBX5f8xc7r77A7iD8y,Hello Rocks (from Hoa - Original Soundtrack),['6AS4f29fe4h6sRE3b3Ytys']
9,2XbgThX8BaW5Euimr3JAPT,Fall Guys (Original Soundtrack),"['72uR0pYwXZM1jSsyk1YPlf', '7LfyyDvMQCizrEtKZAdzBL', '3G4KJBcwXh2SuF4ubt2uBz', '1pgX8ugWyMZ9tgBmLKY4ya', '2jQw8Hjbt4CchgOTKFvBSa', '6MrkLGHB9i5BWsrUNRzvb4']"
