,track_id,track_name,track_popularity,album_id
0,5Dlyn2SzsKWkfculVur8uP,Eyes Of The Wolf,0,5GAHLnlyZGLpOSdYI1tQ3R
1,26S9jCROdSm7KU2ZjDK693,Cloud City,0,7omdilfYgpVS8H4NN5Ot3I
2,6F9pwXxDJfhor7pgFulaaf,Losing Father's Sword,23,0XvTyYwQQhNXYFPbsCzmrg
3,59S1zezFi9vesFISgZA1Ld,A Quiet Corner,36,0dAhuTx13ciZIXgan98X7Z
4,6YuExLhdvpuyKHmyCKBqkZ,The Subcon Caves,18,2HrVkjNMJVNcjUSWxUzyCR
5,42TduAS1Gt1wMKGbOyZMNh,Red Line March,0,6ggDsS6BEsjSX9M27eOT6a
6,5iCtC7i8OEakr9Z1JGyCAk,The House of Hades,17,7nDs6GqsdfaVGcUHVxb7y4
7,7JTJuf9jgvFWrhfDaTEFCC,"The Nation, the Law, and the King",10,7GXcRYmAw1fTgSa2Pdscwh
8,1fYufNyHmg858WYJ9PKLQr,Chrono Trigger - 600 AD - Yearnings Of The Wind,0,5qNfsgpqKJDD4mDS4Y41yv
9,5ufODuaXXzab4i4BNCWGPN,Celebrimbor,0,2XfezFhHCWMZpsAKw94gxd
10,0hKFiueMucTkgmxa788tgE,And Away We Go,0,0M3KBSUSvlTW0pUKO3Vz8P
11,4ZqBYGSC1y4vvpo5V4dCSh,Makers In The Outlands,0,4IzBbPCbp4Ina3B2GlZNFS
12,7FaYbj3k2axM9qrurLZJo9,Catalyst,0,6EkvqSSh1Hu9n66AJLTkYB
13,5nj4VHRNABejbGYn2wxZFq,Our Kingdom Will Fall (Instrumental),0,3ZyrT8Gob0oaj0RuKYS5aq
14,6GtvN5XQqtpoAG8T7s3C2Z,A Towering View,0,0OKyZzH4nCkGIcVZoLwIcU
15,3nCr0sDkOVCa4Df1hd8mXU,Der Mond,21,6VNnTz7roRd6qVDQlBZWFr
16,5pZIHeRUh1dotB0fR7bwva,Just Ad Nauseam,0,7FsW4jSJlCNjdXVeE7rQXv
17,5v2rJOZPhpyz7IKJPRUbnb,Windmill,37,2YMWspDGtbDgYULXvVQFM6
18,6LtiYg9rZXcqeonqFnGrQx,Crash Bandicoot Main Theme,44,0seis2rI9tpi9u9I3Dnza2
19,7p88AYIIkjiAiZibZSveZ6,The Witches Lair,22,5FDDMVvTedW6pf49044B3T
20,6QpXvqSBR1LxgSQULyrmSD,Geodesic,0,6zSbLJdxFLnwJfHdI9GvIM
21,0y7plM0Ozht6JGMEUG8LBL,Thousand Feet March,14,3097LgNi4zLXI0BxhqlRrN
22,4RfTBn4vguw87JL7Lld3eH,Confronting The Wolf (Bonus Track),19,5YvKQRX5qlyj0yPCvw6Vyl
23,2d2osY1hvXBJOYOOdbCw7z,The Infraworld,19,6SCstolTyQVCCtJEEM6DXR
24,7bJp58gPcGCRq2xJACsPmz,To Arrive in Appaloosa Plains,0,6q63h0G5Yld7BA8XcPiggv
25,3iHo9jnTpwNNBHoqHaNGo6,Locus Infestation,0,5C4WWG7nAvT8Xg7fTtlBKZ
26,13YkyhDlDmssLcNny2C3xc,Chase The Man With The Black Mantle,0,0AwSL6jDuhg2QWSOxZyh9J
27,27ygQaPOjWbM6aD89g14BL,Rage Awakened (feat. Christopher Woo),0,4NYZNeHrbXBpotu9NsfkRI
28,4CXVnfSlD74ZbqiHtuxP5K,"Zelda's Lullaby (From ""the Legend of Zelda: Ocarina of Time"")",45,2UGmdtMnIlUMiXryHZ8StP
29,0JdMZGDh7xx4F9H1m32waV,Falana,24,15pJGay6qwgdesDvntZBIF
30,4MEv6bwlq6ZdrnDK1uCKsC,The Glade,0,7Kkoj4rUm2ygO8AaFOapBd
31,7CFOHeRItRTIWwWGWOnDSQ,The One Reborn,38,5nRwiGsiEtrFN847UULpzL
32,1NOvM61wCSdJRlMiM5Bgro,Tower’s Puzzle,11,0OKyZzH4nCkGIcVZoLwIcU
33,71DdxZVdvoZTEkmC9xjdUa,Jungle B,0,18MtsMVIkB6bpz2EvIIjht
34,1VePPmu0PbA6R6rbsfY6pT,Baranour,0,4od09wJjkv8bVHh0dLeWL5
35,4lVy3i5TAuMdWe0j7q6VyA,Suleiman's Grief,18,4YQsbhCYkpmueqKC4aEn7f
36,6rDWSaJOtiySPNd5b6Bs82,Fill 'er Up At Chap's,0,5C4WWG7nAvT8Xg7fTtlBKZ
37,5IUZbJqQzhMwYxqx5RaP8p,Metroid Prime: Echoes - Main Theme,0,28LnQrJf1iPp3p7bRBt782
38,0ydyMGGCAXLRDEzfbEWjbQ,The Vagabond,0,5GAHLnlyZGLpOSdYI1tQ3R
39,4T2un0dcBcFH0oNSPVGnMC,Blood On The Cobblestones,0,5GAHLnlyZGLpOSdYI1tQ3R
40,4iUXS00e2pLoU7nwkq3XEG,This Is The End - Markus,0,3DdgFZ4HatZt4mO1bJTKEy
41,21iEVmyEOsicjiE8MEUtuG,Goosebumps,0,4vyJFhDYqchKtqj4C58RAw
42,4IRjP3QBnvBwDs0MnwTGTa,You Will Be Perfect,0,21MOM5nRM9SjIsonoOGY4Q
43,7tBDSDaBU4zILAhA4iyOj4,"Song Of Healing (From ""Majora's Mask"")",0,5rryjXO8VCACUNy5L7yH0v
44,1P3QfiFE3HOzxbkGcCMEE5,Heart Of A Hero,0,0SryLtBGGy23KtytbOXxRW
45,76Q5tOvuIUIcQyzbsSKaDU,No Hope,31,576UCWC3doVjUcEZFuWMOS
46,0o2Sdhds3vTjXRfJZBTzLm,Days Gone,44,2koUTJvJTFzOs8mresqtle
47,4tTm7EYO02u0cfrTWhWvLt,New Devon,0,2jPRHN04Gcaj6GBnW1jOUW
48,1pMM6EeYW5IEn7guJvVmTl,"Delfino Plaza (From ""Super Mario Sunshine"")",0,5G46tVZXEXodKCjOpFcJRO
49,48eGxxn28DZZOhii2YreXU,Learning to Fight,0,0SryLtBGGy23KtytbOXxRW
50,5IFuxVXP5dtw0LKupHFQNQ,Venice Combat Low,30,09ixa10YNG75H0HDKbMAiZ
51,2CGPtmiRMw3doN4salG5YB,Passing the Torch,21,4YQsbhCYkpmueqKC4aEn7f
52,6VL3tPt3yIBpQfyuX8Rv36,Percy's Escape,29,2r4a3PREYIRF2QdbcPnrEO
53,7CTY6k9EPjPrVDMr5iXlcN,Legacy,18,2rnjKoSvcoxIfwXnXynChe
54,3rO1Vs25YJ5Ehnxj0DU3pU,Chrono Trigger Medley,0,50ujmgH42kcbgN88ywdveY
55,3PFPSmrVbLRm0MLCGQ5trp,"Hyrule Field (From ""the Legend of Zelda: Twilight Princess"")",40,0TyIuRUSHgj0JLsMeosAZl
56,1Gbs2qettmeeUg0GUFLmn7,Call Of Duty: MW3,0,2cmRXWpbtGsCNmy7hYV8dR
57,7l9dv6RIFRsZPnPUuZn49n,Ballistic Circuit,26,2ejNCIw63wz6sppqbdcHf6
58,0JP97EPP5NkoemtNNjQYPR,Around the Fire,52,25r7pEf31viAbsoVHC6bQ4
59,5xfOLq4rPL1Zm1nY14Lok1,Into The Frozen Wilds,0,3jBBIJspGFbVlHfXfwzkX0
60,6t2JXNAhPCk1GZjhI91eVl,Turning the Tide,0,1w1R7R0Scm1IsJQFeONENx
61,11wKe8bZjcb3npZX6aAcXi,Fallout 4 Main Theme,48,7rGidzYxexJJ0OKin1RRHx
62,0LWoHLAYlK1Tq70pTEZKzm,"Frog's Theme (From ""Chrono Trigger"")",0,6yD3z4wSs3CGM6BxsLOJSB
63,6pnwQPNxUzof8K5P194yUI,All is Not Well,10,1nYoHUQF0tsQxWpytILMxF
64,7yXxayHQBxMEzOJwEW6YLc,Hunting The Hive Tyrant,0,2VCbjsXe9VrOWsPMuppifv
65,6Ei88K0gZ0KWXtpOpRVSoK,"Minish Village (From ""The Legend of Zelda: The Minish Cap"")",39,57QA3DJb3I5yDdlhijRcj7
66,0dNZxJHNdAaqoQaOhq672V,Vintage Glade,0,7Kkoj4rUm2ygO8AaFOapBd
67,4xbrgqQF8bzy22K8JhtFM9,Halo,48,78tWR5P0I53edR7PeXpDfF
68,4HCqLgejNP2gW0g93OoPCQ,The Inquisitor,12,7JX1VH32slyXGIzwjaNlbh
69,3sWnaO61ZY4zXplaOzNV72,Sunset,0,1qIRsav8WGOCV7cXh7VDS2
70,4CNeJ7jIAiPLDd2EjFsnyJ,Rivellon,0,54geghZhUleSbVnZEWE8Kx
71,4dbjQnqxzXNtcD7ldQ7RuQ,We Will Not Be Forgotten,28,4dZzebB3bTIXLJpTMOSE44
72,086g8byxtl1GO2rSAYd49s,Without Form,0,0V8y2gduUGML5uXwliLnsm
73,4W0PWYrPEZZQfOLFmMAp7U,The Ghûls / Bright Master / Hirgon,0,2XfezFhHCWMZpsAKw94gxd
74,6F8TqhBc5amqVt3QVht7EG,Zelda's Lullaby (Live),25,6DJYXuM2n8jx87ulgXQJux
75,1cFH6bxEc9M10kTADnTRjQ,Kids Will Be Skeletons,0,1FvIoulivmS5n4Kp3zpBr2
76,10yUfbQT7jl2EqPUTrY7ku,Welcome to Bright Falls,0,576RiuVJOgZ1JaVO0L4azt
77,5FeyxBkGlsPsKr9D50MF7Y,Story Of The Makers,0,4IzBbPCbp4Ina3B2GlZNFS
78,1zP6iziv9PE6wBSetus2hQ,Thornfelt Swamp (feat. Tom Boyd),37,7xPc1OsC2R0siZKMlzRBIo
79,1yAD9IjbhhyadUVNpBnntj,Dance At The Festival,0,0BawDoh2xMnec8hK6XkQ2L
80,5HQhTbik214Gs75034D3qU,Shop radio 3,0,18MtsMVIkB6bpz2EvIIjht
81,3paAWO0ZwabzAmujsEvi3a,Thundersnail,0,5igTFdgbS1jxBpBufbcQA6
82,1h02Ec6Untejoq0UHAAdMP,Clair De Lune,22,1Z1AhQ0PeApuhxNAZDZiv8
83,3lcXIWBc8Y63zEj1FJdbaH,Alex Theme,39,7dsFpra92ogATVcROcJyZ1
84,3lXf0YCP7cGbWMFabVOHBf,Sink or Swim,0,2Dc3L17J41tbywnJdJRPi7
85,1WpA4BqLlTmSM3EleKZUrJ,Arkham City Main Theme,0,6skLYY2WEVjQ6tvbkSlmTG
86,69E66GPenWpDvxGgf3vmH9,Rise of the Tomb Raider,20,5wRvkOWkIYe7YhyAvUABN9
87,4Lnc8RGcOg4E8vwc4fpYml,Wake Up,0,38jZeGDOSHXumzATeZV5Ld
88,6JbNC9SP5jdJRzZea3k9JN,Federation,31,7us4WRnwvqCE3cppHVNjIu
89,2EVVsTzwLC1ogX3dgu4wiL,"Archimedes, Left Hand of the Civilized",10,6yTAA4HcLuz6gJ4T1E9Rb8
90,0aYjhZsSGGQX3F3qqgzghv,The Black Cap Brotherhood Theme,27,52PLNrXUMtPUZwcueV75J1
91,3DXnQTsWUBzpcYBCuKlfM5,The River Sasau Theme,26,0XvTyYwQQhNXYFPbsCzmrg
92,40jsodAJE2oKW6myr8uj8p,The Prince Arrives,12,3hNLjKxhFmzR2V0XloauhA
93,2a3wLJoa1T2JvyPGAlZtd3,Rogue Asteroid,11,4sQZrdJ9JkIu2Wa0diVEqp
94,47zJkJXEO7qF1vHoTfteYy,Sailing on the Wind,0,6a8Qf1XeKiOTAdSwk3Qa16
95,6fwW6uPloanwDx78kBvH0N,Spring (The Valley Comes Alive),46,0swXkrnGm7RP1BIHiqV8Jk
96,2qvIJEX8sB895ELsQtNXnD,Cortex Strikes Back Main Theme,0,2erZbQwABnyWVwQ8FK0UAb
97,0TojXw5SPBVVSBYGz7l2WW,Sigmatauri (From Stellaris Original Game Soundtrack),31,5hCoZYvVBKqOBst0qfgApe
98,002HVvfZx6AKPzJEeimuu5,Welcome to Boston,31,23aWOneOrCl1KBfDCo2pFy
99,67gcxizKw73BUkTc9gyL00,No One Is Untouchable,12,1jCfzTRSGbTSr8IGiBoROz
100,6ROpWrIsgpx8g3oziMaR8W,Horace Highwater,0,4UteT5hE9vKZbH73GNFv3u
101,6JQtcDu6wsgYdX70F1VS9L,Dark Titan,25,02S1126Q5E4gUEtpTI6W38
102,65ApwB72PxPVHaqLCe5H7d,SERE Kit,0,5TydVczo6Iu2AkY91tvJZ7
103,1Ovk3YEcBdMeBqVISkK9Vs,We Are Broke,8,14h9S7VfePhEoSe2ixjGvn
104,2z345zQ6Xe0TmyerqMVe1g,Felonious Junk,0,0n2Xieekck5Rm8wMPUiwDt
105,6egoXBKqVQjMUNsylcxMLt,タイトル,6,07NnkMETf6X2XvZyn2nACB
106,0wPPefa3GYqujwmCmuB4OX,The First Reunion,0,4nH12rvAWaB5qYWFWl1hF4
107,0oAOsfBy6ATfV9V9e7OpLy,Dark Skies,0,5be3r4YaUXjyOC7kvYT33G
108,3ITCrEvmcuQOnmy4g1TZY5,Overture: Lore,41,4cTewzrku9xOpNPXOZ4jVo
